target_id	Test_Condition	MSE	SE_SD
Q0050_mRNA	Balanced	0.358797873268146	0.646896282626936
Q0050_mRNA	Unbalanced OLS	1.06585869500746	1.4421013043486
Q0050_mRNA	Unbalanced JS	1.0458342086946	1.40914977051355
YAL001C_mRNA	Balanced	0.0060901027606335	0.00903358419047306
YAL001C_mRNA	Unbalanced OLS	0.0193398132408632	0.0312314392580861
YAL001C_mRNA	Unbalanced JS	0.0191334018423433	0.0309619517354687
YAL002W_mRNA	Balanced	0.00777586429294812	0.0140970779201618
YAL002W_mRNA	Unbalanced OLS	0.0225279142265659	0.0325635953905732
YAL002W_mRNA	Unbalanced JS	0.0222075436026912	0.0321242307148733
YAL003W_mRNA	Balanced	0.0210218103902104	0.0512086918876151
YAL003W_mRNA	Unbalanced OLS	0.0732628840194327	0.17645612478264
YAL003W_mRNA	Unbalanced JS	0.0727820407820756	0.174904814117159
YAL005C_mRNA	Balanced	0.0681182095666739	0.160551319640011
YAL005C_mRNA	Unbalanced OLS	0.177871260593608	0.428261725257141
YAL005C_mRNA	Unbalanced JS	0.176348255457386	0.425046413328664
YAL007C_mRNA	Balanced	0.00957380917089859	0.0227754164497565
YAL007C_mRNA	Unbalanced OLS	0.0385267126032645	0.127180356309882
YAL007C_mRNA	Unbalanced JS	0.0381824594957873	0.126513488211614
YAL008W_mRNA	Balanced	0.0342301676196931	0.0808730709174919
YAL008W_mRNA	Unbalanced OLS	0.0890406566820226	0.20954126840213
YAL008W_mRNA	Unbalanced JS	0.0882255322251872	0.208605532761025
YAL009W_mRNA	Balanced	0.00703060808681289	0.0138880738451313
YAL009W_mRNA	Unbalanced OLS	0.0244028995436123	0.0515390489123536
YAL009W_mRNA	Unbalanced JS	0.0241329144258362	0.0512958892983452
YAL010C_mRNA	Balanced	0.00859445833850978	0.0189558349197422
YAL010C_mRNA	Unbalanced OLS	0.0256413574931277	0.0452637924436734
YAL010C_mRNA	Unbalanced JS	0.0253867717646929	0.0449377616100984
YAL011W_mRNA	Balanced	0.00323945643763711	0.00542258251842556
YAL011W_mRNA	Unbalanced OLS	0.0117979632202493	0.0148724891651547
YAL011W_mRNA	Unbalanced JS	0.0116647101911104	0.0147079943158548
YAL012W_mRNA	Balanced	0.0152104739785415	0.0273302835554241
YAL012W_mRNA	Unbalanced OLS	0.0412103804463872	0.0618675638854585
YAL012W_mRNA	Unbalanced JS	0.0406867765843247	0.0610480882076648
YAL013W_mRNA	Balanced	0.00976199482681925	0.0161906641114663
YAL013W_mRNA	Unbalanced OLS	0.0398267799204228	0.0853258197134716
YAL013W_mRNA	Unbalanced JS	0.0393655157001891	0.0844309399518657
YAL014C_mRNA	Balanced	0.0121058165652124	0.0215077456441793
YAL014C_mRNA	Unbalanced OLS	0.0387402674312522	0.0622613697754936
YAL014C_mRNA	Unbalanced JS	0.0382806342854665	0.0614484307419363
YAL015C_mRNA	Balanced	0.00569092628581569	0.0117525414071569
YAL015C_mRNA	Unbalanced OLS	0.0161851458143821	0.0204976249158409
YAL015C_mRNA	Unbalanced JS	0.0160389829681866	0.0203401655777286
YAL016W_mRNA	Balanced	0.0128625884391626	0.037558895088733
YAL016W_mRNA	Unbalanced OLS	0.0402597111694912	0.155774453947489
YAL016W_mRNA	Unbalanced JS	0.0399334839081824	0.154928321918469
YAL017W_mRNA	Balanced	0.00619660157122582	0.0123984473877941
YAL017W_mRNA	Unbalanced OLS	0.0184856127322498	0.0254937880672054
YAL017W_mRNA	Unbalanced JS	0.0182610921614103	0.025290973537754
YAL019W-A_mRNA	Balanced	0.0408326395514595	0.0606296798257115
YAL019W-A_mRNA	Unbalanced OLS	0.128759615186444	0.220409344773274
YAL019W-A_mRNA	Unbalanced JS	0.127154981425833	0.218275249764564
YAL019W_mRNA	Balanced	0.0169911505142013	0.0281882781493463
YAL019W_mRNA	Unbalanced OLS	0.0503195893126749	0.0560435344081235
YAL019W_mRNA	Unbalanced JS	0.0497995894443629	0.0558435024244308
YAL020C_mRNA	Balanced	0.0542985081727175	0.127447604291542
YAL020C_mRNA	Unbalanced OLS	0.144558676307292	0.287085039837886
YAL020C_mRNA	Unbalanced JS	0.142965944245883	0.28553557597095
YAL021C_mRNA	Balanced	0.0142429957949503	0.0281257502653271
YAL021C_mRNA	Unbalanced OLS	0.0527825736334417	0.142215964890681
YAL021C_mRNA	Unbalanced JS	0.0522865500944309	0.14163330226599
YAL022C_mRNA	Balanced	0.0190434669027637	0.0415933338792502
YAL022C_mRNA	Unbalanced OLS	0.0517252424876389	0.0770774584808307
YAL022C_mRNA	Unbalanced JS	0.0510813525095618	0.0763039811526899
YAL023C_mRNA	Balanced	0.00516470629530378	0.0090299382294313
YAL023C_mRNA	Unbalanced OLS	0.0183388994626387	0.0344685674293642
YAL023C_mRNA	Unbalanced JS	0.0181477292964875	0.0342324085239466
YAL024C_mRNA	Balanced	0.0105147442381923	0.0182145697021471
YAL024C_mRNA	Unbalanced OLS	0.031296579741942	0.0517727004333006
YAL024C_mRNA	Unbalanced JS	0.0309622291289662	0.051389920209893
YAL025C_mRNA	Balanced	0.0388480306299164	0.0687040655357627
YAL025C_mRNA	Unbalanced OLS	0.132078155852625	0.199085139729897
YAL025C_mRNA	Unbalanced JS	0.130872562492484	0.198598621712547
YAL026C-A_mRNA	Balanced	0.0386430838655358	0.0830685395440153
YAL026C-A_mRNA	Unbalanced OLS	0.100716459397664	0.147803003738378
YAL026C-A_mRNA	Unbalanced JS	0.10000193129286	0.146721172908909
YAL026C_mRNA	Balanced	0.00424595362223642	0.00722597365450664
YAL026C_mRNA	Unbalanced OLS	0.0131529394626104	0.0186047414190606
YAL026C_mRNA	Unbalanced JS	0.0129974000094682	0.0184853410586001
YAL027W_mRNA	Balanced	0.00407521208015004	0.00741092337399448
YAL027W_mRNA	Unbalanced OLS	0.0101357199733825	0.0174144356378507
YAL027W_mRNA	Unbalanced JS	0.00999209166036378	0.0171263009673746
YAL028W_mRNA	Balanced	0.00842282459693523	0.0177957541916213
YAL028W_mRNA	Unbalanced OLS	0.028183859585528	0.0547240247537283
YAL028W_mRNA	Unbalanced JS	0.0279175433269286	0.0541853717017913
YAL029C_mRNA	Balanced	0.00436819496590808	0.00738050176514232
YAL029C_mRNA	Unbalanced OLS	0.0148483312115741	0.0180443690231927
YAL029C_mRNA	Unbalanced JS	0.0146686542314323	0.0178632545004556
YAL030W_mRNA	Balanced	0.0187517338135168	0.0271189020790156
YAL030W_mRNA	Unbalanced OLS	0.0524948569635883	0.0747496953973992
YAL030W_mRNA	Unbalanced JS	0.0519035818820671	0.0740365299820328
YAL031C_mRNA	Balanced	0.00944593407951292	0.0200242731307087
YAL031C_mRNA	Unbalanced OLS	0.0314251263777186	0.0711882874528782
YAL031C_mRNA	Unbalanced JS	0.0311875458755432	0.070602870288959
YAL031W-A_mRNA	Balanced	0.0752030276158598	0.126046744547923
YAL031W-A_mRNA	Unbalanced OLS	0.227727881812731	0.410398204270267
YAL031W-A_mRNA	Unbalanced JS	0.225736095494622	0.406899102362998
YAL032C_mRNA	Balanced	0.00472889205741803	0.00810221144606058
YAL032C_mRNA	Unbalanced OLS	0.0167467798844051	0.0290207769599502
