Result	Total	Test_Condition	Iteration	N
TP	8	Balanced	22	487
FN	8	Balanced	23	2954
FP	8	Balanced	23	5
TN	8	Balanced	23	2149
TP	8	Balanced	23	691
FN	8	Balanced	24	2588
FP	8	Balanced	24	2
TN	8	Balanced	24	2155
TP	8	Balanced	24	1059
FN	8	Balanced	25	2401
FP	8	Balanced	25	12
TN	8	Balanced	25	2147
TP	8	Balanced	25	1248
FN	8	Balanced	26	2185
FP	8	Balanced	26	21
TN	8	Balanced	26	2139
TP	8	Balanced	26	1462
FN	8	Balanced	27	3211
FP	8	Balanced	27	0
TN	8	Balanced	27	2161
TP	8	Balanced	27	441
FN	8	Balanced	28	2687
FP	8	Balanced	28	15
TN	8	Balanced	28	2145
TP	8	Balanced	28	961
FN	8	Balanced	29	3019
FP	8	Balanced	29	0
TN	8	Balanced	29	2156
TP	8	Balanced	29	627
FN	8	Balanced	30	3066
FP	8	Balanced	30	4
TN	8	Balanced	30	2151
TP	8	Balanced	30	580
FN	8	Unbalanced JS	1	2875
FP	8	Unbalanced JS	1	18
TN	8	Unbalanced JS	1	2139
TP	8	Unbalanced JS	1	773
FN	8	Unbalanced JS	2	3405
FP	8	Unbalanced JS	2	0
TN	8	Unbalanced JS	2	2153
TP	8	Unbalanced JS	2	220
FN	8	Unbalanced JS	3	2964
FP	8	Unbalanced JS	3	6
TN	8	Unbalanced JS	3	2156
TP	8	Unbalanced JS	3	684
FN	8	Unbalanced JS	4	3228
FP	8	Unbalanced JS	4	44
TN	8	Unbalanced JS	4	2111
TP	8	Unbalanced JS	4	399
FN	8	Unbalanced JS	5	2523
FP	8	Unbalanced JS	5	16
TN	8	Unbalanced JS	5	2139
TP	8	Unbalanced JS	5	1124
FN	8	Unbalanced JS	6	2668
FP	8	Unbalanced JS	6	47
TN	8	Unbalanced JS	6	2111
TP	8	Unbalanced JS	6	961
FN	8	Unbalanced JS	7	1638
FP	8	Unbalanced JS	7	950
TN	8	Unbalanced JS	7	1214
TP	8	Unbalanced JS	7	2011
FN	8	Unbalanced JS	8	3470
FP	8	Unbalanced JS	8	1
TN	8	Unbalanced JS	8	2160
TP	8	Unbalanced JS	8	159
FN	8	Unbalanced JS	9	2736
FP	8	Unbalanced JS	9	104
TN	8	Unbalanced JS	9	2054
TP	8	Unbalanced JS	9	910
FN	8	Unbalanced JS	10	3400
FP	8	Unbalanced JS	10	0
TN	8	Unbalanced JS	10	2162
TP	8	Unbalanced JS	10	229
FN	8	Unbalanced JS	11	2938
FP	8	Unbalanced JS	11	7
TN	8	Unbalanced JS	11	2148
TP	8	Unbalanced JS	11	711
FN	8	Unbalanced JS	12	3385
FP	8	Unbalanced JS	12	0
TN	8	Unbalanced JS	12	2156
TP	8	Unbalanced JS	12	237
FN	8	Unbalanced JS	13	3041
FP	8	Unbalanced JS	13	5
TN	8	Unbalanced JS	13	2153
TP	8	Unbalanced JS	13	607
FN	8	Unbalanced JS	14	3486
FP	8	Unbalanced JS	14	0
TN	8	Unbalanced JS	14	2157
TP	8	Unbalanced JS	14	141
FN	8	Unbalanced JS	15	3154
FP	8	Unbalanced JS	15	5
TN	8	Unbalanced JS	15	2155
TP	8	Unbalanced JS	15	496
FN	8	Unbalanced JS	16	3295
FP	8	Unbalanced JS	16	1
TN	8	Unbalanced JS	16	2149
TP	8	Unbalanced JS	16	337
FN	8	Unbalanced JS	17	3087
FP	8	Unbalanced JS	17	13
TN	8	Unbalanced JS	17	2150
TP	8	Unbalanced JS	17	564
FN	8	Unbalanced JS	18	3463
FP	8	Unbalanced JS	18	0
TN	8	Unbalanced JS	18	2149
TP	8	Unbalanced JS	18	166
FN	8	Unbalanced JS	19	2693
FP	8	Unbalanced JS	19	142
TN	8	Unbalanced JS	19	2022
TP	8	Unbalanced JS	19	956
FN	8	Unbalanced JS	20	2355
FP	8	Unbalanced JS	20	7
TN	8	Unbalanced JS	20	2150
TP	8	Unbalanced JS	20	1273
FN	8	Unbalanced JS	21	2828
FP	8	Unbalanced JS	21	89
TN	8	Unbalanced JS	21	2070
TP	8	Unbalanced JS	21	821
FN	8	Unbalanced JS	22	2944
FP	8	Unbalanced JS	22	14
TN	8	Unbalanced JS	22	2143
TP	8	Unbalanced JS	22	683
FN	8	Unbalanced JS	23	2353
FP	8	Unbalanced JS	23	393
TN	8	Unbalanced JS	23	1765
TP	8	Unbalanced JS	23	1297
FN	8	Unbalanced JS	24	3436
FP	8	Unbalanced JS	24	0
TN	8	Unbalanced JS	24	2143
TP	8	Unbalanced JS	24	186
FN	8	Unbalanced JS	25	3234
FP	8	Unbalanced JS	25	7
TN	8	Unbalanced JS	25	2156
TP	8	Unbalanced JS	25	416
FN	8	Unbalanced JS	26	3041
FP	8	Unbalanced JS	26	23
TN	8	Unbalanced JS	26	2136
TP	8	Unbalanced JS	26	590
FN	8	Unbalanced JS	27	3226
FP	8	Unbalanced JS	27	6
TN	8	Unbalanced JS	27	2155
TP	8	Unbalanced JS	27	422
FN	8	Unbalanced JS	28	3496
FP	8	Unbalanced JS	28	1
TN	8	Unbalanced JS	28	2154
TP	8	Unbalanced JS	28	136
FN	8	Unbalanced JS	29	3441
FP	8	Unbalanced JS	29	13
TN	8	Unbalanced JS	29	2144
TP	8	Unbalanced JS	29	208
FN	8	Unbalanced JS	30	3451
FP	8	Unbalanced JS	30	0
TN	8	Unbalanced JS	30	2158
TP	8	Unbalanced JS	30	177
FN	8	Unbalanced OLS	1	2996
FP	8	Unbalanced OLS	1	13
TN	8	Unbalanced OLS	1	2144
TP	8	Unbalanced OLS	1	652
FN	8	Unbalanced OLS	2	3477
FP	8	Unbalanced OLS	2	0
TN	8	Unbalanced OLS	2	2153
TP	8	Unbalanced OLS	2	148
FN	8	Unbalanced OLS	3	3094
FP	8	Unbalanced OLS	3	4
TN	8	Unbalanced OLS	3	2158
TP	8	Unbalanced OLS	3	554
FN	8	Unbalanced OLS	4	3444
FP	8	Unbalanced OLS	4	9
TN	8	Unbalanced OLS	4	2146
TP	8	Unbalanced OLS	4	183
FN	8	Unbalanced OLS	5	2711
FP	8	Unbalanced OLS	5	9
TN	8	Unbalanced OLS	5	2146
TP	8	Unbalanced OLS	5	936
FN	8	Unbalanced OLS	6	2851
FP	8	Unbalanced OLS	6	32
TN	8	Unbalanced OLS	6	2126
TP	8	Unbalanced OLS	6	778
FN	8	Unbalanced OLS	7	1740
FP	8	Unbalanced OLS	7	881
TN	8	Unbalanced OLS	7	1283
TP	8	Unbalanced OLS	7	1909
FN	8	Unbalanced OLS	8	3557
FP	8	Unbalanced OLS	8	0
TN	8	Unbalanced OLS	8	2161
TP	8	Unbalanced OLS	8	72
FN	8	Unbalanced OLS	9	2890
FP	8	Unbalanced OLS	9	65
TN	8	Unbalanced OLS	9	2093
TP	8	Unbalanced OLS	9	756
FN	8	Unbalanced OLS	10	3503
FP	8	Unbalanced OLS	10	0
TN	8	Unbalanced OLS	10	2162
TP	8	Unbalanced OLS	10	126
FN	8	Unbalanced OLS	11	3087
FP	8	Unbalanced OLS	11	3
TN	8	Unbalanced OLS	11	2152
TP	8	Unbalanced OLS	11	562
FN	8	Unbalanced OLS	12	3460
FP	8	Unbalanced OLS	12	0
TN	8	Unbalanced OLS	12	2156
TP	8	Unbalanced OLS	12	162
FN	8	Unbalanced OLS	13	3199
FP	8	Unbalanced OLS	13	1
TN	8	Unbalanced OLS	13	2157
TP	8	Unbalanced OLS	13	449
FN	8	Unbalanced OLS	14	3557
FP	8	Unbalanced OLS	14	0
TN	8	Unbalanced OLS	14	2157
TP	8	Unbalanced OLS	14	70
FN	8	Unbalanced OLS	15	3239
FP	8	Unbalanced OLS	15	4
TN	8	Unbalanced OLS	15	2156
TP	8	Unbalanced OLS	15	411
FN	8	Unbalanced OLS	16	3379
FP	8	Unbalanced OLS	16	0
TN	8	Unbalanced OLS	16	2150
TP	8	Unbalanced OLS	16	253
FN	8	Unbalanced OLS	17	3182
FP	8	Unbalanced OLS	17	8
TN	8	Unbalanced OLS	17	2155
TP	8	Unbalanced OLS	17	469
FN	8	Unbalanced OLS	18	3521
FP	8	Unbalanced OLS	18	0
TN	8	Unbalanced OLS	18	2149
TP	8	Unbalanced OLS	18	108
FN	8	Unbalanced OLS	19	2838
FP	8	Unbalanced OLS	19	107
TN	8	Unbalanced OLS	19	2057
TP	8	Unbalanced OLS	19	811
FN	8	Unbalanced OLS	20	2562
FP	8	Unbalanced OLS	20	4
TN	8	Unbalanced OLS	20	2153
TP	8	Unbalanced OLS	20	1066
FN	8	Unbalanced OLS	21	3011
FP	8	Unbalanced OLS	21	44
TN	8	Unbalanced OLS	21	2115
TP	8	Unbalanced OLS	21	638
FN	8	Unbalanced OLS	22	3118
FP	8	Unbalanced OLS	22	9
TN	8	Unbalanced OLS	22	2148
TP	8	Unbalanced OLS	22	509
FN	8	Unbalanced OLS	23	2543
FP	8	Unbalanced OLS	23	288
TN	8	Unbalanced OLS	23	1870
TP	8	Unbalanced OLS	23	1107
FN	8	Unbalanced OLS	24	3474
FP	8	Unbalanced OLS	24	0
TN	8	Unbalanced OLS	24	2143
TP	8	Unbalanced OLS	24	148
FN	8	Unbalanced OLS	25	3366
FP	8	Unbalanced OLS	25	2
TN	8	Unbalanced OLS	25	2161
TP	8	Unbalanced OLS	25	284
FN	8	Unbalanced OLS	26	3188
FP	8	Unbalanced OLS	26	12
TN	8	Unbalanced OLS	26	2147
TP	8	Unbalanced OLS	26	443
FN	8	Unbalanced OLS	27	3416
FP	8	Unbalanced OLS	27	1
TN	8	Unbalanced OLS	27	2160
TP	8	Unbalanced OLS	27	232
FN	8	Unbalanced OLS	28	3577
FP	8	Unbalanced OLS	28	0
TN	8	Unbalanced OLS	28	2155
TP	8	Unbalanced OLS	28	55
FN	8	Unbalanced OLS	29	3500
FP	8	Unbalanced OLS	29	1
TN	8	Unbalanced OLS	29	2156
TP	8	Unbalanced OLS	29	149
FN	8	Unbalanced OLS	30	3516
FP	8	Unbalanced OLS	30	5
TN	8	Unbalanced OLS	30	2153
TP	8	Unbalanced OLS	30	112
FN	10	Balanced	1	2222
FP	10	Balanced	1	10
TN	10	Balanced	1	2145
TP	10	Balanced	1	1425
FN	10	Balanced	2	2675
FP	10	Balanced	2	0
TN	10	Balanced	2	2160
TP	10	Balanced	2	972
FN	10	Balanced	3	2926
FP	10	Balanced	3	2
TN	10	Balanced	3	2157
TP	10	Balanced	3	722
FN	10	Balanced	4	2534
FP	10	Balanced	4	6
TN	10	Balanced	4	2156
TP	10	Balanced	4	1114
FN	10	Balanced	5	2640
FP	10	Balanced	5	0
TN	10	Balanced	5	2163
TP	10	Balanced	5	1010
FN	10	Balanced	6	2660
FP	10	Balanced	6	1
TN	10	Balanced	6	2148
TP	10	Balanced	6	986
FN	10	Balanced	7	3014
FP	10	Balanced	7	5
TN	10	Balanced	7	2141
TP	10	Balanced	7	627
FN	10	Balanced	8	1597
FP	10	Balanced	8	41
TN	10	Balanced	8	2115
TP	10	Balanced	8	2054
FN	10	Balanced	9	2610
FP	10	Balanced	9	4
TN	10	Balanced	9	2158
TP	10	Balanced	9	1040
FN	10	Balanced	10	1931
FP	10	Balanced	10	28
TN	10	Balanced	10	2131
TP	10	Balanced	10	1720
FN	10	Balanced	11	2227
FP	10	Balanced	11	1
TN	10	Balanced	11	2162
TP	10	Balanced	11	1421
FN	10	Balanced	12	2467
FP	10	Balanced	12	9
TN	10	Balanced	12	2149
TP	10	Balanced	12	1177
FN	10	Balanced	13	2398
FP	10	Balanced	13	59
TN	10	Balanced	13	2099
TP	10	Balanced	13	1246
FN	10	Balanced	14	2765
FP	10	Balanced	14	0
TN	10	Balanced	14	2157
TP	10	Balanced	14	883
FN	10	Balanced	15	3025
FP	10	Balanced	15	1
TN	10	Balanced	15	2159
TP	10	Balanced	15	623
FN	10	Balanced	16	2834
FP	10	Balanced	16	4
TN	10	Balanced	16	2153
TP	10	Balanced	16	814
FN	10	Balanced	17	2526
FP	10	Balanced	17	1
TN	10	Balanced	17	2154
TP	10	Balanced	17	1121
FN	10	Balanced	18	3197
FP	10	Balanced	18	0
TN	10	Balanced	18	2159
TP	10	Balanced	18	455
FN	10	Balanced	19	3255
FP	10	Balanced	19	0
TN	10	Balanced	19	2157
TP	10	Balanced	19	394
FN	10	Balanced	20	2380
FP	10	Balanced	20	5
TN	10	Balanced	20	2157
TP	10	Balanced	20	1270
FN	10	Balanced	21	2684
FP	10	Balanced	21	22
TN	10	Balanced	21	2131
TP	10	Balanced	21	957
FN	10	Balanced	22	2091
FP	10	Balanced	22	3
TN	10	Balanced	22	2157
TP	10	Balanced	22	1555
FN	10	Balanced	23	2188
FP	10	Balanced	23	20
TN	10	Balanced	23	2137
TP	10	Balanced	23	1460
FN	10	Balanced	24	2758
FP	10	Balanced	24	0
TN	10	Balanced	24	2159
TP	10	Balanced	24	889
FN	10	Balanced	25	2828
FP	10	Balanced	25	3
TN	10	Balanced	25	2154
TP	10	Balanced	25	821
FN	10	Balanced	26	2587
FP	10	Balanced	26	20
TN	10	Balanced	26	2140
TP	10	Balanced	26	1062
FN	10	Balanced	27	1994
FP	10	Balanced	27	52
TN	10	Balanced	27	2105
TP	10	Balanced	27	1655
FN	10	Balanced	28	1795
FP	10	Balanced	28	62
TN	10	Balanced	28	2097
TP	10	Balanced	28	1853
FN	10	Balanced	29	2581
FP	10	Balanced	29	3
TN	10	Balanced	29	2157
TP	10	Balanced	29	1069
FN	10	Balanced	30	3254
FP	10	Balanced	30	0
TN	10	Balanced	30	2161
TP	10	Balanced	30	396
FN	10	Unbalanced JS	1	2989
FP	10	Unbalanced JS	1	21
TN	10	Unbalanced JS	1	2143
TP	10	Unbalanced JS	1	660
FN	10	Unbalanced JS	2	3359
FP	10	Unbalanced JS	2	0
TN	10	Unbalanced JS	2	2151
TP	10	Unbalanced JS	2	272
FN	10	Unbalanced JS	3	2385
FP	10	Unbalanced JS	3	20
TN	10	Unbalanced JS	3	2141
TP	10	Unbalanced JS	3	1264
FN	10	Unbalanced JS	4	3370
FP	10	Unbalanced JS	4	3
TN	10	Unbalanced JS	4	2161
TP	10	Unbalanced JS	4	264
FN	10	Unbalanced JS	5	2165
FP	10	Unbalanced JS	5	35
TN	10	Unbalanced JS	5	2127
TP	10	Unbalanced JS	5	1480
FN	10	Unbalanced JS	6	3447
FP	10	Unbalanced JS	6	0
TN	10	Unbalanced JS	6	2160
TP	10	Unbalanced JS	6	182
FN	10	Unbalanced JS	7	2451
FP	10	Unbalanced JS	7	169
TN	10	Unbalanced JS	7	1982
TP	10	Unbalanced JS	7	1194
FN	10	Unbalanced JS	8	3453
FP	10	Unbalanced JS	8	0
TN	10	Unbalanced JS	8	2153
TP	10	Unbalanced JS	8	177
FN	10	Unbalanced JS	9	2938
FP	10	Unbalanced JS	9	4
TN	10	Unbalanced JS	9	2154
TP	10	Unbalanced JS	9	709
FN	10	Unbalanced JS	10	3417
FP	10	Unbalanced JS	10	0
TN	10	Unbalanced JS	10	2156
TP	10	Unbalanced JS	10	212
FN	10	Unbalanced JS	11	2568
FP	10	Unbalanced JS	11	42
TN	10	Unbalanced JS	11	2117
TP	10	Unbalanced JS	11	1079
FN	10	Unbalanced JS	12	2677
FP	10	Unbalanced JS	12	27
TN	10	Unbalanced JS	12	2129
TP	10	Unbalanced JS	12	952
FN	10	Unbalanced JS	13	2582
FP	10	Unbalanced JS	13	15
TN	10	Unbalanced JS	13	2140
TP	10	Unbalanced JS	13	1064
FN	10	Unbalanced JS	14	3414
FP	10	Unbalanced JS	14	1
TN	10	Unbalanced JS	14	2151
TP	10	Unbalanced JS	14	208
FN	10	Unbalanced JS	15	3348
FP	10	Unbalanced JS	15	1
TN	10	Unbalanced JS	15	2156
TP	10	Unbalanced JS	15	301
FN	10	Unbalanced JS	16	2586
FP	10	Unbalanced JS	16	461
TN	10	Unbalanced JS	16	1701
TP	10	Unbalanced JS	16	1047
FN	10	Unbalanced JS	17	2877
FP	10	Unbalanced JS	17	6
TN	10	Unbalanced JS	17	2153
TP	10	Unbalanced JS	17	773
FN	10	Unbalanced JS	18	3423
FP	10	Unbalanced JS	18	0
TN	10	Unbalanced JS	18	2158
TP	10	Unbalanced JS	18	211
FN	10	Unbalanced JS	19	3118
FP	10	Unbalanced JS	19	3
TN	10	Unbalanced JS	19	2159
TP	10	Unbalanced JS	19	532
FN	10	Unbalanced JS	20	3209
FP	10	Unbalanced JS	20	2
TN	10	Unbalanced JS	20	2148
TP	10	Unbalanced JS	20	414
FN	10	Unbalanced JS	21	2302
FP	10	Unbalanced JS	21	51
TN	10	Unbalanced JS	21	2109
TP	10	Unbalanced JS	21	1345
FN	10	Unbalanced JS	22	2936
FP	10	Unbalanced JS	22	3
TN	10	Unbalanced JS	22	2153
TP	10	Unbalanced JS	22	697
FN	10	Unbalanced JS	23	3069
FP	10	Unbalanced JS	23	13
TN	10	Unbalanced JS	23	2147
TP	10	Unbalanced JS	23	577
FN	10	Unbalanced JS	24	3422
FP	10	Unbalanced JS	24	1
TN	10	Unbalanced JS	24	2156
TP	10	Unbalanced JS	24	208
FN	10	Unbalanced JS	25	3230
FP	10	Unbalanced JS	25	5
TN	10	Unbalanced JS	25	2157
TP	10	Unbalanced JS	25	418
FN	10	Unbalanced JS	26	2998
FP	10	Unbalanced JS	26	65
TN	10	Unbalanced JS	26	2086
TP	10	Unbalanced JS	26	627
FN	10	Unbalanced JS	27	2943
FP	10	Unbalanced JS	27	81
TN	10	Unbalanced JS	27	2082
TP	10	Unbalanced JS	27	704
FN	10	Unbalanced JS	28	3265
FP	10	Unbalanced JS	28	7
TN	10	Unbalanced JS	28	2135
TP	10	Unbalanced JS	28	353
FN	10	Unbalanced JS	29	3198
FP	10	Unbalanced JS	29	11
TN	10	Unbalanced JS	29	2149
TP	10	Unbalanced JS	29	448
FN	10	Unbalanced JS	30	2911
FP	10	Unbalanced JS	30	49
TN	10	Unbalanced JS	30	2108
TP	10	Unbalanced JS	30	715
FN	10	Unbalanced OLS	1	3202
FP	10	Unbalanced OLS	1	7
TN	10	Unbalanced OLS	1	2157
TP	10	Unbalanced OLS	1	447
FN	10	Unbalanced OLS	2	3469
FP	10	Unbalanced OLS	2	0
TN	10	Unbalanced OLS	2	2151
TP	10	Unbalanced OLS	2	162
FN	10	Unbalanced OLS	3	2558
FP	10	Unbalanced OLS	3	11
TN	10	Unbalanced OLS	3	2150
TP	10	Unbalanced OLS	3	1091
FN	10	Unbalanced OLS	4	3443
FP	10	Unbalanced OLS	4	0
TN	10	Unbalanced OLS	4	2164
TP	10	Unbalanced OLS	4	191
FN	10	Unbalanced OLS	5	2322
FP	10	Unbalanced OLS	5	20
TN	10	Unbalanced OLS	5	2142
TP	10	Unbalanced OLS	5	1323
FN	10	Unbalanced OLS	6	3540
FP	10	Unbalanced OLS	6	0
TN	10	Unbalanced OLS	6	2160
TP	10	Unbalanced OLS	6	89
FN	10	Unbalanced OLS	7	2604
FP	10	Unbalanced OLS	7	110
TN	10	Unbalanced OLS	7	2041
TP	10	Unbalanced OLS	7	1041
FN	10	Unbalanced OLS	8	3506
FP	10	Unbalanced OLS	8	0
TN	10	Unbalanced OLS	8	2153
TP	10	Unbalanced OLS	8	124
FN	10	Unbalanced OLS	9	3049
FP	10	Unbalanced OLS	9	1
TN	10	Unbalanced OLS	9	2157
TP	10	Unbalanced OLS	9	598
FN	10	Unbalanced OLS	10	3470
FP	10	Unbalanced OLS	10	0
TN	10	Unbalanced OLS	10	2156
TP	10	Unbalanced OLS	10	159
FN	10	Unbalanced OLS	11	2717
FP	10	Unbalanced OLS	11	28
TN	10	Unbalanced OLS	11	2131
TP	10	Unbalanced OLS	11	930
FN	10	Unbalanced OLS	12	2838
FP	10	Unbalanced OLS	12	12
TN	10	Unbalanced OLS	12	2144
TP	10	Unbalanced OLS	12	791
FN	10	Unbalanced OLS	13	2737
FP	10	Unbalanced OLS	13	9
TN	10	Unbalanced OLS	13	2146
TP	10	Unbalanced OLS	13	909
FN	10	Unbalanced OLS	14	3489
FP	10	Unbalanced OLS	14	0
TN	10	Unbalanced OLS	14	2152
TP	10	Unbalanced OLS	14	133
FN	10	Unbalanced OLS	15	3439
FP	10	Unbalanced OLS	15	1
TN	10	Unbalanced OLS	15	2156
TP	10	Unbalanced OLS	15	210
FN	10	Unbalanced OLS	16	2844
FP	10	Unbalanced OLS	16	262
TN	10	Unbalanced OLS	16	1900
TP	10	Unbalanced OLS	16	789
FN	10	Unbalanced OLS	17	3036
FP	10	Unbalanced OLS	17	1
TN	10	Unbalanced OLS	17	2158
TP	10	Unbalanced OLS	17	614
FN	10	Unbalanced OLS	18	3480
FP	10	Unbalanced OLS	18	0
TN	10	Unbalanced OLS	18	2158
TP	10	Unbalanced OLS	18	154
FN	10	Unbalanced OLS	19	3263
FP	10	Unbalanced OLS	19	1
TN	10	Unbalanced OLS	19	2161
TP	10	Unbalanced OLS	19	387
FN	10	Unbalanced OLS	20	3341
FP	10	Unbalanced OLS	20	0
TN	10	Unbalanced OLS	20	2150
TP	10	Unbalanced OLS	20	282
FN	10	Unbalanced OLS	21	2463
FP	10	Unbalanced OLS	21	40
TN	10	Unbalanced OLS	21	2120
TP	10	Unbalanced OLS	21	1184
FN	10	Unbalanced OLS	22	3061
FP	10	Unbalanced OLS	22	1
TN	10	Unbalanced OLS	22	2155
TP	10	Unbalanced OLS	22	572
FN	10	Unbalanced OLS	23	3261
FP	10	Unbalanced OLS	23	8
TN	10	Unbalanced OLS	23	2152
TP	10	Unbalanced OLS	23	385
FN	10	Unbalanced OLS	24	3496
FP	10	Unbalanced OLS	24	0
TN	10	Unbalanced OLS	24	2157
TP	10	Unbalanced OLS	24	134
FN	10	Unbalanced OLS	25	3318
FP	10	Unbalanced OLS	25	2
TN	10	Unbalanced OLS	25	2160
TP	10	Unbalanced OLS	25	330
FN	10	Unbalanced OLS	26	3189
FP	10	Unbalanced OLS	26	29
TN	10	Unbalanced OLS	26	2122
TP	10	Unbalanced OLS	26	436
FN	10	Unbalanced OLS	27	3016
FP	10	Unbalanced OLS	27	60
TN	10	Unbalanced OLS	27	2103
TP	10	Unbalanced OLS	27	631
FN	10	Unbalanced OLS	28	3341
FP	10	Unbalanced OLS	28	6
TN	10	Unbalanced OLS	28	2136
TP	10	Unbalanced OLS	28	277
FN	10	Unbalanced OLS	29	3294
FP	10	Unbalanced OLS	29	5
TN	10	Unbalanced OLS	29	2155
TP	10	Unbalanced OLS	29	352
FN	10	Unbalanced OLS	30	3136
FP	10	Unbalanced OLS	30	23
TN	10	Unbalanced OLS	30	2134
TP	10	Unbalanced OLS	30	490
FN	12	Balanced	1	2878
FP	12	Balanced	1	0
TN	12	Balanced	1	2158
TP	12	Balanced	1	768
FN	12	Balanced	2	1781
FP	12	Balanced	2	29
TN	12	Balanced	2	2130
TP	12	Balanced	2	1866
FN	12	Balanced	3	1810
FP	12	Balanced	3	51
TN	12	Balanced	3	2111
TP	12	Balanced	3	1838
FN	12	Balanced	4	1739
FP	12	Balanced	4	13
TN	12	Balanced	4	2145
TP	12	Balanced	4	1911
FN	12	Balanced	5	2394
FP	12	Balanced	5	37
TN	12	Balanced	5	2119
TP	12	Balanced	5	1254
FN	12	Balanced	6	3017
FP	12	Balanced	6	0
TN	12	Balanced	6	2152
TP	12	Balanced	6	630
FN	12	Balanced	7	2753
FP	12	Balanced	7	6
TN	12	Balanced	7	2155
TP	12	Balanced	7	897
FN	12	Balanced	8	1952
FP	12	Balanced	8	11
TN	12	Balanced	8	2147
TP	12	Balanced	8	1697
FN	12	Balanced	9	1990
FP	12	Balanced	9	22
TN	12	Balanced	9	2139
TP	12	Balanced	9	1657
FN	12	Balanced	10	1987
FP	12	Balanced	10	40
TN	12	Balanced	10	2115
TP	12	Balanced	10	1663
FN	12	Balanced	11	2624
FP	12	Balanced	11	3
TN	12	Balanced	11	2156
TP	12	Balanced	11	1026
FN	12	Balanced	12	1899
FP	12	Balanced	12	113
TN	12	Balanced	12	2044
TP	12	Balanced	12	1747
FN	12	Balanced	13	2447
FP	12	Balanced	13	23
TN	12	Balanced	13	2140
TP	12	Balanced	13	1204
FN	12	Balanced	14	1642
FP	12	Balanced	14	58
TN	12	Balanced	14	2099
TP	12	Balanced	14	2004
FN	12	Balanced	15	1877
FP	12	Balanced	15	21
TN	12	Balanced	15	2136
TP	12	Balanced	15	1768
FN	12	Balanced	16	2167
FP	12	Balanced	16	23
TN	12	Balanced	16	2132
TP	12	Balanced	16	1480
FN	12	Balanced	17	2429
FP	12	Balanced	17	2
TN	12	Balanced	17	2152
TP	12	Balanced	17	1217
FN	12	Balanced	18	2521
FP	12	Balanced	18	7
TN	12	Balanced	18	2155
TP	12	Balanced	18	1130
FN	12	Balanced	19	1811
FP	12	Balanced	19	53
TN	12	Balanced	19	2105
TP	12	Balanced	19	1838
FN	12	Balanced	20	1425
FP	12	Balanced	20	202
TN	12	Balanced	20	1953
TP	12	Balanced	20	2224
FN	12	Balanced	21	2254
FP	12	Balanced	21	68
TN	12	Balanced	21	2094
TP	12	Balanced	21	1397
FN	12	Balanced	22	1884
FP	12	Balanced	22	29
TN	12	Balanced	22	2129
TP	12	Balanced	22	1765
FN	12	Balanced	23	2827
FP	12	Balanced	23	0
TN	12	Balanced	23	2152
TP	12	Balanced	23	821
FN	12	Balanced	24	1534
FP	12	Balanced	24	49
TN	12	Balanced	24	2115
TP	12	Balanced	24	2117
FN	12	Balanced	25	2344
FP	12	Balanced	25	28
TN	12	Balanced	25	2137
TP	12	Balanced	25	1305
FN	12	Balanced	26	2507
FP	12	Balanced	26	2
TN	12	Balanced	26	2151
TP	12	Balanced	26	1135
FN	12	Balanced	27	2250
FP	12	Balanced	27	9
TN	12	Balanced	27	2150
TP	12	Balanced	27	1400
FN	12	Balanced	28	2413
FP	12	Balanced	28	9
TN	12	Balanced	28	2145
TP	12	Balanced	28	1237
FN	12	Balanced	29	2070
FP	12	Balanced	29	52
TN	12	Balanced	29	2105
TP	12	Balanced	29	1575
FN	12	Balanced	30	2556
FP	12	Balanced	30	33
TN	12	Balanced	30	2130
TP	12	Balanced	30	1094
FN	12	Unbalanced JS	1	2962
FP	12	Unbalanced JS	1	4
TN	12	Unbalanced JS	1	2154
TP	12	Unbalanced JS	1	686
FN	12	Unbalanced JS	2	3076
FP	12	Unbalanced JS	2	7
TN	12	Unbalanced JS	2	2151
TP	12	Unbalanced JS	2	550
FN	12	Unbalanced JS	3	2325
FP	12	Unbalanced JS	3	41
TN	12	Unbalanced JS	3	2119
TP	12	Unbalanced JS	3	1325
FN	12	Unbalanced JS	4	3294
FP	12	Unbalanced JS	4	2
TN	12	Unbalanced JS	4	2149
TP	12	Unbalanced JS	4	328
FN	12	Unbalanced JS	5	2326
FP	12	Unbalanced JS	5	43
TN	12	Unbalanced JS	5	2115
TP	12	Unbalanced JS	5	1318
FN	12	Unbalanced JS	6	3469
FP	12	Unbalanced JS	6	0
TN	12	Unbalanced JS	6	2153
TP	12	Unbalanced JS	6	155
FN	12	Unbalanced JS	7	3002
FP	12	Unbalanced JS	7	60
TN	12	Unbalanced JS	7	2101
TP	12	Unbalanced JS	7	646
FN	12	Unbalanced JS	8	3455
FP	12	Unbalanced JS	8	2
TN	12	Unbalanced JS	8	2159
TP	12	Unbalanced JS	8	172
FN	12	Unbalanced JS	9	3227
FP	12	Unbalanced JS	9	3
TN	12	Unbalanced JS	9	2157
TP	12	Unbalanced JS	9	423
FN	12	Unbalanced JS	10	3500
FP	12	Unbalanced JS	10	0
TN	12	Unbalanced JS	10	2152
TP	12	Unbalanced JS	10	133
FN	12	Unbalanced JS	11	2727
FP	12	Unbalanced JS	11	16
TN	12	Unbalanced JS	11	2145
TP	12	Unbalanced JS	11	921
FN	12	Unbalanced JS	12	3430
