Total	Test_Condition	TPR	FPR	q
12	Balanced	0.478572395726554	0.0393240443128972	0.06
12	Unbalanced JS	0.260826366403257	0.0909750255560026	0.06
12	Unbalanced OLS	0.238998696640889	0.0809853232487339	0.06
14	Balanced	0.54819524010969	0.0398270892556226	0.06
14	Unbalanced JS	0.257875359737082	0.070427457672068	0.06
14	Unbalanced OLS	0.240845438907291	0.0641113123455835	0.06
16	Balanced	0.593939579495245	0.0404017772466198	0.06
16	Unbalanced JS	0.204143453476918	0.0462325406049763	0.06
16	Unbalanced OLS	0.189600299121279	0.041971498796298	0.06
18	Balanced	0.650285358072781	0.0712576941201227	0.06
18	Unbalanced JS	0.228074623802768	0.0519219717380971	0.06
18	Unbalanced OLS	0.214443306121889	0.0485746920638939	0.06
20	Balanced	0.656265032369332	0.046582893463484	0.06
20	Unbalanced JS	0.192093563467351	0.0366355088394614	0.06
20	Unbalanced OLS	0.179940580689169	0.0338872537834068	0.06
22	Balanced	0.695149170972377	0.0512827464152934	0.06
22	Unbalanced JS	0.193288190045622	0.0280198673618589	0.06
22	Unbalanced OLS	0.182249895632802	0.0254107896460014	0.06
24	Balanced	0.730092619602113	0.0638578858045904	0.06
24	Unbalanced JS	0.208625253409876	0.0443245136105351	0.06
24	Unbalanced OLS	0.19868593300977	0.0421950443523731	0.06
4	Balanced	0.258813030805418	0.053899101299025	0.07
4	Unbalanced JS	0.323883758953151	0.0770609930641937	0.07
4	Unbalanced OLS	0.250818701313868	0.050252549371032	0.07
6	Balanced	0.35634023608001	0.0361315438100472	0.07
6	Unbalanced JS	0.273873911196529	0.0602787217822935	0.07
6	Unbalanced OLS	0.229107691480971	0.0453355495932901	0.07
8	Balanced	0.40553027379683	0.0285563734116371	0.07
8	Unbalanced JS	0.256671814912099	0.0603753262949697	0.07
8	Unbalanced OLS	0.222798601741217	0.0509220989240348	0.07
10	Balanced	0.53962783653865	0.048759640590563	0.07
10	Unbalanced JS	0.257804306984073	0.0677198754319479	0.07
10	Unbalanced OLS	0.230015680092903	0.0597836818705568	0.07
12	Balanced	0.496835831170525	0.0439114123647099	0.07
12	Unbalanced JS	0.27198927124637	0.0970111146979106	0.07
12	Unbalanced OLS	0.250270598655195	0.0870387007461891	0.07
14	Balanced	0.566168650278314	0.045558304048877	0.07
14	Unbalanced JS	0.269142296376332	0.0750904917553715	0.07
14	Unbalanced OLS	0.250176820734713	0.0681723158276728	0.07
16	Balanced	0.611890044770425	0.0467014710096931	0.07
16	Unbalanced JS	0.213194857393242	0.0499699248233753	0.07
16	Unbalanced OLS	0.19911067558548	0.045430019450686	0.07
18	Balanced	0.666034588285072	0.0802742528561667	0.07
18	Unbalanced JS	0.23950195459054	0.055608401137957	0.07
18	Unbalanced OLS	0.224306788336349	0.0512897333091453	0.07
20	Balanced	0.673977880921393	0.0538060944400434	0.07
20	Unbalanced JS	0.201642388574727	0.039508440419284	0.07
20	Unbalanced OLS	0.189158501088455	0.0363115273564776	0.07
22	Balanced	0.711508935800888	0.0587217267865227	0.07
22	Unbalanced JS	0.202799867688118	0.0304141264360275	0.07
22	Unbalanced OLS	0.192011968239048	0.0280812017622043	0.07
24	Balanced	0.746864080477406	0.0729047742857822	0.07
24	Unbalanced JS	0.218819167071908	0.0465153673284689	0.07
24	Unbalanced OLS	0.208475698195596	0.0445405345138403	0.07
4	Balanced	0.268729297359112	0.05757999847563	0.08
4	Unbalanced JS	0.335629561398802	0.0826485678976048	0.08
4	Unbalanced OLS	0.260760301682228	0.054126646147714	0.08
6	Balanced	0.370624542408908	0.0408302157085656	0.08
6	Unbalanced JS	0.283471378614993	0.0641845039632387	0.08
6	Unbalanced OLS	0.238289495771271	0.0485150466526614	0.08
8	Balanced	0.420339445339975	0.0318014494115393	0.08
8	Unbalanced JS	0.266455439121867	0.0637585843589686	0.08
8	Unbalanced OLS	0.232337066843573	0.0538722034768373	0.08
10	Balanced	0.555315549130027	0.054366541640575	0.08
10	Unbalanced JS	0.268290492740106	0.0715338035765653	0.08
10	Unbalanced OLS	0.239628242338923	0.0629798473763873	0.08
12	Balanced	0.513245057333244	0.0492717051705789	0.08
12	Unbalanced JS	0.281889537435475	0.102738761891952	0.08
12	Unbalanced OLS	0.259923202559083	0.0921944934240572	0.08
14	Balanced	0.581986368386193	0.0516897590179636	0.08
14	Unbalanced JS	0.279097695371634	0.0800932993204087	0.08
14	Unbalanced OLS	0.259746914497158	0.0724647290293403	0.08
16	Balanced	0.627538350826654	0.0525702298910241	0.08
16	Unbalanced JS	0.222218007135145	0.0529181298449976	0.08
16	Unbalanced OLS	0.207384677516711	0.0480406105237766	0.08
18	Balanced	0.680879638683535	0.088996435380449	0.08
18	Unbalanced JS	0.249384051100666	0.0585696492082285	0.08
18	Unbalanced OLS	0.234570454375801	0.0546987342283639	0.08
20	Balanced	0.689306343478457	0.0613850818523892	0.08
20	Unbalanced JS	0.210824039591641	0.0425037464575297	0.08
20	Unbalanced OLS	0.198194048106731	0.0390611159730925	0.08
22	Balanced	0.726681426102456	0.0664690491622949	0.08
22	Unbalanced JS	0.212264660063751	0.0326067580448168	0.08
22	Unbalanced OLS	0.200286074153507	0.030197108101944	0.08
24	Balanced	0.761196326319404	0.0816578298492729	0.08
24	Unbalanced JS	0.227856085219798	0.04915373878858	0.08
24	Unbalanced OLS	0.217321615639548	0.04673136684221	0.08
4	Balanced	0.278114991070165	0.0610135520419952	0.09
4	Unbalanced JS	0.346333129623925	0.0875261962487494	0.09
4	Unbalanced OLS	0.269660006164798	0.0580776812910039	0.09
6	Balanced	0.384278438846872	0.0453433435197024	0.09
6	Unbalanced JS	0.293662227603543	0.0689080964418585	0.09
6	Unbalanced OLS	0.246857380242688	0.0518029900731761	0.09
8	Balanced	0.434993037247838	0.0355104433110445	0.09
8	Unbalanced JS	0.27588622363394	0.0677752278114924	0.09
8	Unbalanced OLS	0.241150746175092	0.0566845579273999	0.09
10	Balanced	0.570363240877247	0.0600974575745973	0.09
10	Unbalanced JS	0.278895445877351	0.0751462918283496	0.09
10	Unbalanced OLS	0.249372373641825	0.0662836789329455	0.09
12	Balanced	0.528100585183598	0.0542304760015383	0.09
12	Unbalanced JS	0.291573434007639	0.108512914893429	0.09
12	Unbalanced OLS	0.269273169758318	0.0970728429335577	0.09
14	Balanced	0.597007934958067	0.0577610974918667	0.09
14	Unbalanced JS	0.288432095316761	0.0843551060380746	0.09
14	Unbalanced OLS	0.268833354531589	0.0763401224275626	0.09
16	Balanced	0.641286479577324	0.0589016379964329	0.09
16	Unbalanced JS	0.230646011071907	0.0562837509456748	0.09
16	Unbalanced OLS	0.214859447500318	0.0510976886846517	0.09
18	Balanced	0.693522811208176	0.0963909099771259	0.09
18	Unbalanced JS	0.258956658472556	0.0617936849553872	0.09
18	Unbalanced OLS	0.243133412112765	0.0575673177618331	0.09
20	Balanced	0.703483790609275	0.0686703152559941	0.09
20	Unbalanced JS	0.220181184635788	0.0454838643293432	0.09
20	Unbalanced OLS	0.206450964500909	0.0418399565361026	0.09
22	Balanced	0.740273391378098	0.0749739613800339	0.09
22	Unbalanced JS	0.22106153024929	0.0346768489706458	0.09
22	Unbalanced OLS	0.208943890531964	0.0322358766303883	0.09
24	Balanced	0.774259015247443	0.0906425538984622	0.09
24	Unbalanced JS	0.236740470514666	0.0515915137203635	0.09
24	Unbalanced OLS	0.225764842546664	0.0492002136810162	0.09
4	Balanced	0.287263136699702	0.0642922475656638	0.1
4	Unbalanced JS	0.35600105866752	0.0923259207897839	0.1
4	Unbalanced OLS	0.27791829716606	0.0612416704733715	0.1
6	Balanced	0.39697267222949	0.0495151069788391	0.1
6	Unbalanced JS	0.302948047944028	0.0735848909521492	0.1
6	Unbalanced OLS	0.255170574186934	0.0551217412665951	0.1
8	Balanced	0.448888055099275	0.0391576442305008	0.1
8	Unbalanced JS	0.285487418882307	0.0709112705553248	0.1
8	Unbalanced OLS	0.249854038713545	0.0593729263827603	0.1
10	Balanced	0.584807807426505	0.0656271117857442	0.1
10	Unbalanced JS	0.288785120454157	0.0783419417928883	0.1
10	Unbalanced OLS	0.258189904744133	0.0693099333156019	0.1
12	Balanced	0.541019634420453	0.0594829150964292	0.1
12	Unbalanced JS	0.300851394220348	0.113637029425048	0.1
12	Unbalanced OLS	0.277890887365275	0.10181277598819	0.1
14	Balanced	0.610202170891115	0.0642946189236275	0.1
14	Unbalanced JS	0.297388361201815	0.0888180596756202	0.1
14	Unbalanced OLS	0.277882454432931	0.0810961224023398	0.1
16	Balanced	0.654358660752731	0.0655105316338724	0.1
16	Unbalanced JS	0.239067705670926	0.0594792149427739	0.1
16	Unbalanced OLS	0.222526670302898	0.0540152096667892	0.1
18	Balanced	0.705545084584763	0.104618169463807	0.1
18	Unbalanced JS	0.268843105809772	0.0649400750128439	0.1
18	Unbalanced OLS	0.2520988048059	0.0602510228405031	0.1
20	Balanced	0.716199739842491	0.0764489535789356	0.1
20	Unbalanced JS	0.228730676695585	0.0483242104954439	0.1
20	Unbalanced OLS	0.214734480495274	0.0444186671565467	0.1
22	Balanced	0.752202938330223	0.0825057708839402	0.1
22	Unbalanced JS	0.229447259891733	0.0369936167767743	0.1
22	Unbalanced OLS	0.216833862782079	0.0342280396802155	0.1
24	Balanced	0.786381292830594	0.0992870762626245	0.1
24	Unbalanced JS	0.245541742457807	0.0537983163521852	0.1
24	Unbalanced OLS	0.234098592194378	0.0514526956668324	0.1
4	Balanced	0.295753580006309	0.0674627167667385	0.11
4	Unbalanced JS	0.365414522560235	0.0967708265439089	0.11
4	Unbalanced OLS	0.28593088714661	0.0645438105123797	0.11
6	Balanced	0.409054589682168	0.0539975135653213	0.11
6	Unbalanced JS	0.312214476883566	0.0777998374052158	0.11
6	Unbalanced OLS	0.262990881898897	0.0583475993531465	0.11
8	Balanced	0.461932835493852	0.0429439419831954	0.11
8	Unbalanced JS	0.294420726874691	0.0742324068020511	0.11
8	Unbalanced OLS	0.258035812371878	0.0622772842925085	0.11
10	Balanced	0.597407376399229	0.0710793763440735	0.11
10	Unbalanced JS	0.297540874451963	0.0815540619954732	0.11
10	Unbalanced OLS	0.266358975116398	0.0724907226898256	0.11
12	Balanced	0.554102593713518	0.0653830450067273	0.11
12	Unbalanced JS	0.3098196336661	0.118298846528131	0.11
12	Unbalanced OLS	0.286244673076646	0.107200739729566	0.11
14	Balanced	0.6231593172717	0.0707670446498864	0.11
14	Unbalanced JS	0.305714809813016	0.0930025698171706	0.11
14	Unbalanced OLS	0.286080152324548	0.0848639298813082	0.11
16	Balanced	0.667357935575577	0.072103535610255	0.11
16	Unbalanced JS	0.246974176730731	0.0627055933184401	0.11
16	Unbalanced OLS	0.229755036343156	0.0568556784749519	0.11
18	Balanced	0.716690114663708	0.112183598433091	0.11
18	Unbalanced JS	0.277801002555638	0.0684566144510208	0.11
18	Unbalanced OLS	0.260398516649569	0.0629810942615305	0.11
20	Balanced	0.72762786991639	0.0831779989901275	0.11
20	Unbalanced JS	0.236713773309565	0.0509496669458351	0.11
20	Unbalanced OLS	0.22271636780815	0.0469815712873127	0.11
22	Balanced	0.763694136402176	0.0901915719986703	0.11
22	Unbalanced JS	0.237383848601753	0.0387071757937071	0.11
22	Unbalanced OLS	0.224375402826072	0.0360816071600225	0.11
24	Balanced	0.797626377505366	0.108441632395632	0.11
24	Unbalanced JS	0.253746574198502	0.0562051916892079	0.11
24	Unbalanced OLS	0.241782184158539	0.0532735940348338	0.11
4	Balanced	0.303814920285948	0.0712050076806117	0.12
4	Unbalanced JS	0.374827933652529	0.101911404334661	0.12
4	Unbalanced OLS	0.293192853761355	0.0677688329576063	0.12
6	Balanced	0.419948396059568	0.0581862234479361	0.12
6	Unbalanced JS	0.320859515318952	0.0817987124789932	0.12
6	Unbalanced OLS	0.270032728123666	0.0610027922256953	0.12
8	Balanced	0.474036340730152	0.0472255729553806	0.12
8	Unbalanced JS	0.30296011760215	0.0778000966515267	0.12
8	Unbalanced OLS	0.265456459788363	0.0650886715005053	0.12
10	Balanced	0.609878770739106	0.0762998950959593	0.12
10	Unbalanced JS	0.306765762199105	0.0857078475169222	0.12
10	Unbalanced OLS	0.275424319020931	0.0754085797931442	0.12
12	Balanced	0.566418181865975	0.0706506026136312	0.12
12	Unbalanced JS	0.317835168611156	0.122899334177436	0.12
12	Unbalanced OLS	0.294157390656434	0.111815936580646	0.12
14	Balanced	0.63487349243912	0.0767752443041748	0.12
14	Unbalanced JS	0.314233990037899	0.097620654469811	0.12
14	Unbalanced OLS	0.293627278832367	0.0886156726765284	0.12
16	Balanced	0.678840372276249	0.0792688451159446	0.12
16	Unbalanced JS	0.255725094446597	0.0664260039794908	0.12
16	Unbalanced OLS	0.236928494255169	0.0594646994577489	0.12
18	Balanced	0.727350817641128	0.119933469172604	0.12
18	Unbalanced JS	0.28659274068142	0.0719730190361626	0.12
18	Unbalanced OLS	0.269321397370092	0.0662048383200805	0.12
20	Balanced	0.738060020120433	0.0908796968093768	0.12
20	Unbalanced JS	0.245467348122296	0.0536048340767487	0.12
20	Unbalanced OLS	0.230515561730129	0.0494985019771799	0.12
22	Balanced	0.773842492663538	0.0980314723861046	0.12
22	Unbalanced JS	0.245283845482138	0.0408539372510147	0.12
22	Unbalanced OLS	0.231954101921083	0.037996536359896	0.12
24	Balanced	0.807400691630622	0.117025242589861	0.12
24	Unbalanced JS	0.26167254173748	0.0582570352850664	0.12
24	Unbalanced OLS	0.250032926488379	0.0556652813428932	0.12
4	Balanced	0.311738414177558	0.0747152503808568	0.13
4	Unbalanced JS	0.382741560781333	0.106542148214884	0.13
4	Unbalanced OLS	0.30081213796964	0.0710406105682568	0.13
6	Balanced	0.431107430752663	0.0629009242540033	0.13
6	Unbalanced JS	0.328671306232512	0.0852721307692957	0.13
6	Unbalanced OLS	0.27750465931969	0.0639662245559395	0.13
8	Balanced	0.485097432139036	0.0514608433158348	0.13
8	Unbalanced JS	0.310646439140462	0.081399053250238	0.13
8	Unbalanced OLS	0.273174006412289	0.0680243120706919	0.13
10	Balanced	0.621226192916862	0.0822150586971209	0.13
10	Unbalanced JS	0.315146637323183	0.0886877842320171	0.13
10	Unbalanced OLS	0.283473823847019	0.0781874765361958	0.13
12	Balanced	0.577692616464076	0.076659403231518	0.13
12	Unbalanced JS	0.325987428546253	0.127438093366317	0.13
12	Unbalanced OLS	0.301815998427149	0.115921602956289	0.13
14	Balanced	0.646203670382526	0.083123640021892	0.13
14	Unbalanced JS	0.321956454981995	0.102067724050902	0.13
14	Unbalanced OLS	0.301228902128088	0.0923838869772261	0.13
16	Balanced	0.689026024885936	0.0858008061792182	0.13
16	Unbalanced JS	0.263439631470408	0.0698378333585659	0.13
16	Unbalanced OLS	0.244406027232442	0.0625058566904011	0.13
18	Balanced	0.737235320291061	0.127745564794059	0.13
18	Unbalanced JS	0.294444345853295	0.0750111981549605	0.13
18	Unbalanced OLS	0.277271420501866	0.0693199642557422	0.13
20	Balanced	0.748273237512834	0.0995384680187046	0.13
20	Unbalanced JS	0.253605085548257	0.0566307667470533	0.13
20	Unbalanced OLS	0.237911340388299	0.0519532370489875	0.13
22	Balanced	0.783744396262354	0.106273623072626	0.13
22	Unbalanced JS	0.252974161778641	0.0434027973685389	0.13
22	Unbalanced OLS	0.23927531559743	0.0398341097076126	0.13
24	Balanced	0.815987550634687	0.125608202371989	0.13
24	Unbalanced JS	0.269752711813537	0.0605101762376553	0.13
