Total	Test_Condition	PPV	TPR	q
16	Balanced	0.979367895804372	0.523755339018692	0.03
16	Unbalanced JS	0.944718878208069	0.168524443404547	0.03
16	Unbalanced OLS	0.947602404909385	0.156195041014654	0.03
18	Balanced	0.963565025182499	0.582198278962539	0.03
18	Unbalanced JS	0.950123011999425	0.189114606690188	0.03
18	Unbalanced OLS	0.952065472882037	0.176532989199079	0.03
20	Balanced	0.978660675046706	0.582564320038932	0.03
20	Unbalanced JS	0.960611805742545	0.155481247291823	0.03
20	Unbalanced OLS	0.962618965746561	0.145667876834171	0.03
22	Balanced	0.977234296148939	0.624092127430689	0.03
22	Unbalanced JS	0.972219932426889	0.156924133528252	0.03
22	Unbalanced OLS	0.973511477290174	0.148016030372076	0.03
24	Balanced	0.97287784673535	0.661508282642666	0.03
24	Unbalanced JS	0.962928392211594	0.173556019163124	0.03
24	Unbalanced OLS	0.963908808579538	0.165314386122521	0.03
4	Balanced	0.947615115115217	0.222338716716037	0.04
4	Unbalanced JS	0.925847776857588	0.284330049514199	0.04
4	Unbalanced OLS	0.941589730274017	0.217986327820746	0.04
6	Balanced	0.967022413601957	0.30537081267292	0.04
6	Unbalanced JS	0.939517542499754	0.237138282779408	0.04
6	Unbalanced OLS	0.949229647315076	0.196931642186969	0.04
8	Balanced	0.977413782667064	0.348844256218536	0.04
8	Unbalanced JS	0.945481217734828	0.220067918978885	0.04
8	Unbalanced OLS	0.952233992740302	0.189988156036682	0.04
10	Balanced	0.970473168221288	0.479025618435647	0.04
10	Unbalanced JS	0.944665308681038	0.220910811400266	0.04
10	Unbalanced OLS	0.949951385229779	0.197656885237286	0.04
12	Balanced	0.971291441672021	0.437676393590686	0.04
12	Unbalanced JS	0.913794355170891	0.234021434810717	0.04
12	Unbalanced OLS	0.919494877123212	0.214688029231561	0.04
14	Balanced	0.974229867633561	0.504772797219198	0.04
14	Unbalanced JS	0.937521038242239	0.23322217890401	0.04
14	Unbalanced OLS	0.941652412211076	0.217022602984339	0.04
16	Balanced	0.97479620200584	0.550749741760959	0.04
16	Unbalanced JS	0.942198876815476	0.181899425758339	0.04
16	Unbalanced OLS	0.94442280527587	0.168688430651405	0.04
18	Balanced	0.95759998846353	0.609312860414757	0.04
18	Unbalanced JS	0.946861083391827	0.204041836781798	0.04
18	Unbalanced OLS	0.949673823550545	0.191088014132216	0.04
20	Balanced	0.973141781616209	0.611722689410691	0.04
20	Unbalanced JS	0.957194782830164	0.169433561853041	0.04
20	Unbalanced OLS	0.959981737409581	0.15782583543483	0.04
22	Balanced	0.971676801458085	0.652518487590245	0.04
22	Unbalanced JS	0.970294777319653	0.170906533808159	0.04
22	Unbalanced OLS	0.971567380345688	0.16065996128072	0.04
24	Balanced	0.966030101600122	0.689232285132658	0.04
24	Unbalanced JS	0.96163584511816	0.186684831822623	0.04
24	Unbalanced OLS	0.962409928281453	0.177985277784323	0.04
4	Balanced	0.944842344383208	0.235133256381836	0.05
4	Unbalanced JS	0.92141910548483	0.298964395956275	0.05
4	Unbalanced OLS	0.938534654823371	0.229508905558106	0.05
6	Balanced	0.962794788757584	0.324343502569442	0.05
6	Unbalanced JS	0.936410537920889	0.250871542879936	0.05
6	Unbalanced OLS	0.946151663346395	0.208456732545036	0.05
8	Balanced	0.973588844688148	0.368388523350739	0.05
8	Unbalanced JS	0.942559903089667	0.233444421904678	0.05
8	Unbalanced OLS	0.949510364471811	0.202338003507977	0.05
10	Balanced	0.966017315912693	0.501711646451381	0.05
10	Unbalanced JS	0.941630015364542	0.233967871289216	0.05
10	Unbalanced OLS	0.947384030989364	0.209577822055941	0.05
12	Balanced	0.967168773070525	0.459193520137083	0.05
12	Unbalanced JS	0.909838994061845	0.248544228027994	0.05
12	Unbalanced OLS	0.915473955440408	0.227296848576764	0.05
14	Balanced	0.968978296212405	0.527489257553231	0.05
14	Unbalanced JS	0.9336851648189	0.246272158684725	0.05
14	Unbalanced OLS	0.938441406485922	0.229262768126492	0.05
16	Balanced	0.970566704100903	0.573943226304093	0.05
16	Unbalanced JS	0.939043273026297	0.19361563100464	0.05
16	Unbalanced OLS	0.942095159891518	0.179562803440045	0.05
18	Balanced	0.952095292358471	0.631311110937188	0.05
18	Unbalanced JS	0.943713391399239	0.216709735483355	0.05
18	Unbalanced OLS	0.947115309833181	0.203441900121507	0.05
20	Balanced	0.967761452408168	0.635409977032796	0.05
20	Unbalanced JS	0.954448514598088	0.181151565698537	0.05
20	Unbalanced OLS	0.957118522775522	0.169532741512797	0.05
22	Balanced	0.966539176193481	0.675427936618527	0.05
22	Unbalanced JS	0.968628127495175	0.182812682669564	0.05
22	Unbalanced OLS	0.969902622402459	0.172076497210618	0.05
24	Balanced	0.959483890053994	0.711302410359676	0.05
24	Unbalanced JS	0.959630177165715	0.197957520542159	0.05
24	Unbalanced OLS	0.961062384004841	0.189153702553981	0.05
4	Balanced	0.941489283170926	0.247571999953976	0.06
4	Unbalanced JS	0.918667491861079	0.311982496018796	0.06
4	Unbalanced OLS	0.93536036991518	0.240649023110633	0.06
6	Balanced	0.95879539882827	0.340885786884047	0.06
6	Unbalanced JS	0.932780204132155	0.262839130233353	0.06
6	Unbalanced OLS	0.943123446437823	0.219632439007486	0.06
8	Balanced	0.969953968832778	0.38759489586176	0.06
8	Unbalanced JS	0.939521069077864	0.2454386724205	0.06
8	Unbalanced OLS	0.946951631027778	0.212702126185959	0.06
10	Balanced	0.962201098900974	0.522222988637837	0.06
10	Unbalanced JS	0.938643304595394	0.246614722602003	0.06
10	Unbalanced OLS	0.944791536625187	0.219851037850659	0.06
12	Balanced	0.963454510652112	0.478572395726554	0.06
12	Unbalanced JS	0.906275837979708	0.260826366403257	0.06
12	Unbalanced OLS	0.912449964353148	0.238998696640889	0.06
14	Balanced	0.964962595298791	0.54819524010969	0.06
14	Unbalanced JS	0.930351458894517	0.257875359737082	0.06
14	Unbalanced OLS	0.935177313358346	0.240845438907291	0.06
16	Balanced	0.966160740871506	0.593939579495245	0.06
16	Unbalanced JS	0.936718721105163	0.204143453476918	0.06
16	Unbalanced OLS	0.940496565502091	0.189600299121279	0.06
18	Balanced	0.947582791051182	0.650285358072782	0.06
18	Unbalanced JS	0.941017377480844	0.228074623802768	0.06
18	Unbalanced OLS	0.944377451073315	0.214443306121888	0.06
20	Balanced	0.962634637336867	0.656265032369332	0.06
20	Unbalanced JS	0.951836638220593	0.192093563467351	0.06
20	Unbalanced OLS	0.954422883129438	0.179940580689169	0.06
22	Balanced	0.9615863047714	0.695149170972377	0.06
22	Unbalanced JS	0.96589625028057	0.193288190045622	0.06
22	Unbalanced OLS	0.968459982388982	0.182249895632802	0.06
24	Balanced	0.954111853178366	0.730092619602113	0.06
24	Unbalanced JS	0.957572883398649	0.208625253409876	0.06
24	Unbalanced OLS	0.959465966184314	0.19868593300977	0.06
4	Balanced	0.938713866769467	0.258813030805419	0.07
4	Unbalanced JS	0.91541966604704	0.323883758953151	0.07
4	Unbalanced OLS	0.932116118126653	0.250818701313868	0.07
6	Balanced	0.95429317744619	0.35634023608001	0.07
6	Unbalanced JS	0.929558563048222	0.273873911196529	0.07
6	Unbalanced OLS	0.940686232636042	0.229107691480971	0.07
8	Balanced	0.966236043867419	0.40553027379683	0.07
8	Unbalanced JS	0.937023602061911	0.256671814912099	0.07
8	Unbalanced OLS	0.94498146328561	0.222798601741217	0.07
10	Balanced	0.957999026842878	0.53962783653865	0.07
10	Unbalanced JS	0.936172918800812	0.257804306984073	0.07
10	Unbalanced OLS	0.942642420430537	0.230015680092902	0.07
12	Balanced	0.960174978218416	0.496835831170525	0.07
12	Unbalanced JS	0.903135258261993	0.27198927124637	0.07
12	Unbalanced OLS	0.908822254166543	0.250270598655195	0.07
14	Balanced	0.960932600014125	0.566168650278314	0.07
14	Unbalanced JS	0.927624139516874	0.269142296376332	0.07
14	Unbalanced OLS	0.932387547125982	0.250176820734713	0.07
16	Balanced	0.961811906864282	0.611890044770425	0.07
16	Unbalanced JS	0.933737220742817	0.213194857393242	0.07
16	Unbalanced OLS	0.937520294222056	0.19911067558548	0.07
18	Balanced	0.942231097826065	0.666034588285072	0.07
18	Unbalanced JS	0.938176208168055	0.23950195459054	0.07
18	Unbalanced OLS	0.941827089045949	0.224306788336349	0.07
20	Balanced	0.957925496275643	0.673977880921393	0.07
20	Unbalanced JS	0.949466386093526	0.201642388574727	0.07
20	Unbalanced OLS	0.952502353661252	0.189158501088455	0.07
22	Balanced	0.956963213144025	0.711508935800888	0.07
22	Unbalanced JS	0.963772998687232	0.202799867688118	0.07
22	Unbalanced OLS	0.966108776178583	0.192011968239048	0.07
24	Balanced	0.948776622706371	0.746864080477406	0.07
24	Unbalanced JS	0.956274266217153	0.218819167071908	0.07
24	Unbalanced OLS	0.957836601917951	0.208475698195596	0.07
4	Balanced	0.936096989860265	0.268729297359112	0.08
4	Unbalanced JS	0.912159721102011	0.335629561398802	0.08
4	Unbalanced OLS	0.929680779649429	0.260760301682228	0.08
6	Balanced	0.94989215469574	0.370624542408908	0.08
6	Unbalanced JS	0.926506818588129	0.283471378614993	0.08
6	Unbalanced OLS	0.938829942287053	0.238289495771271	0.08
8	Balanced	0.963570341479241	0.420339445339975	0.08
8	Unbalanced JS	0.93456909867003	0.266455439121867	0.08
8	Unbalanced OLS	0.942487986663344	0.232337066843573	0.08
10	Balanced	0.953992895235904	0.555315549130027	0.08
10	Unbalanced JS	0.933502722309196	0.268290492740106	0.08
10	Unbalanced OLS	0.940133211455338	0.239628242338923	0.08
12	Balanced	0.956299937433507	0.513245057333244	0.08
12	Unbalanced JS	0.899781202243986	0.281889537435475	0.08
12	Unbalanced OLS	0.906074308648326	0.259923202559083	0.08
14	Balanced	0.956739555155815	0.581986368386193	0.08
14	Unbalanced JS	0.924065179516092	0.279097695371634	0.08
14	Unbalanced OLS	0.929549430233182	0.259746914497158	0.08
16	Balanced	0.957933878115845	0.627538350826654	0.08
16	Unbalanced JS	0.931461964493033	0.222218007135145	0.08
16	Unbalanced OLS	0.935813620226349	0.207384677516711	0.08
18	Balanced	0.937237481189672	0.680879638683535	0.08
18	Unbalanced JS	0.936367111989477	0.249384051100666	0.08
18	Unbalanced OLS	0.939177509299457	0.234570454375801	0.08
20	Balanced	0.953083697740755	0.689306343478457	0.08
20	Unbalanced JS	0.947210400889776	0.210824039591641	0.08
20	Unbalanced OLS	0.950109577885957	0.198194048106731	0.08
22	Balanced	0.952240566852174	0.726681426102456	0.08
22	Unbalanced JS	0.961843700562818	0.212264660063751	0.08
22	Unbalanced OLS	0.964079571950563	0.200286074153506	0.08
24	Balanced	0.943733110527092	0.761196326319404	0.08
24	Unbalanced JS	0.954235735762198	0.227856085219798	0.08
24	Unbalanced OLS	0.956220546066465	0.217321615639548	0.08
4	Balanced	0.933498481978374	0.278114991070165	0.09
4	Unbalanced JS	0.908688454271264	0.346333129623925	0.09
4	Unbalanced OLS	0.927150417271179	0.269660006164798	0.09
6	Balanced	0.946235556692177	0.384278438846872	0.09
6	Unbalanced JS	0.923133772025722	0.293662227603543	0.09
6	Unbalanced OLS	0.936567608608151	0.246857380242688	0.09
8	Balanced	0.960663965680023	0.434993037247838	0.09
8	Unbalanced JS	0.931279996632945	0.27588622363394	0.09
8	Unbalanced OLS	0.940517961807159	0.241150746175092	0.09
10	Balanced	0.950150567318565	0.570363240877247	0.09
10	Unbalanced JS	0.931333097096971	0.278895445877351	0.09
10	Unbalanced OLS	0.938091511987848	0.249372373641825	0.09
12	Balanced	0.952786407044699	0.528100585183598	0.09
12	Unbalanced JS	0.896700226207874	0.291573434007639	0.09
12	Unbalanced OLS	0.903546239481556	0.269273169758318	0.09
14	Balanced	0.952758727624435	0.597007934958067	0.09
14	Unbalanced JS	0.921954842559058	0.288432095316761	0.09
14	Unbalanced OLS	0.927327098336412	0.268833354531589	0.09
16	Balanced	0.953709346152316	0.641286479577324	0.09
16	Unbalanced JS	0.928731516962538	0.230646011071907	0.09
16	Unbalanced OLS	0.933330292058089	0.214859447500318	0.09
18	Balanced	0.93297602674177	0.693522811208176	0.09
18	Unbalanced JS	0.93388495131749	0.258956658472556	0.09
18	Unbalanced OLS	0.937022768193971	0.243133412112765	0.09
20	Balanced	0.948579161836785	0.703483790609275	0.09
20	Unbalanced JS	0.945043217594872	0.220181184635788	0.09
20	Unbalanced OLS	0.947733787414421	0.206450964500909	0.09
22	Balanced	0.947126148535629	0.740273391378098	0.09
22	Unbalanced JS	0.960102819585136	0.22106153024929	0.09
22	Unbalanced OLS	0.962314034772481	0.208943890531964	0.09
24	Balanced	0.938688098106764	0.774259015247443	0.09
24	Unbalanced JS	0.952334359345847	0.236740470514666	0.09
24	Unbalanced OLS	0.954341358247025	0.225764842546664	0.09
4	Balanced	0.931228807043435	0.287263136699702	0.1
4	Unbalanced JS	0.906195963592061	0.35600105866752	0.1
4	Unbalanced OLS	0.925443621058253	0.27791829716606	0.1
6	Balanced	0.943012656482487	0.39697267222949	0.1
6	Unbalanced JS	0.920167937592745	0.302948047944028	0.1
6	Unbalanced OLS	0.934441341462615	0.255170574186934	0.1
8	Balanced	0.957779993148551	0.448888055099275	0.1
8	Unbalanced JS	0.929212577123062	0.285487418882307	0.1
8	Unbalanced OLS	0.938374619179201	0.249854038713545	0.1
10	Balanced	0.946415158915806	0.584807807426506	0.1
10	Unbalanced JS	0.929505973313115	0.288785120454157	0.1
10	Unbalanced OLS	0.93570173024335	0.258189904744133	0.1
12	Balanced	0.949003234988153	0.541019634420453	0.1
12	Unbalanced JS	0.894100760299539	0.300851394220348	0.1
12	Unbalanced OLS	0.901007818310154	0.277890887365275	0.1
14	Balanced	0.948489064577842	0.610202170891115	0.1
14	Unbalanced JS	0.918807109720297	0.297388361201815	0.1
14	Unbalanced OLS	0.923976509562572	0.277882454432931	0.1
16	Balanced	0.949540067731585	0.654358660752731	0.1
16	Unbalanced JS	0.926241143167831	0.239067705670926	0.1
16	Unbalanced OLS	0.931176378313765	0.222526670302898	0.1
18	Balanced	0.928435873411808	0.705545084584763	0.1
18	Unbalanced JS	0.931959656605615	0.268843105809772	0.1
18	Unbalanced OLS	0.935606577075242	0.2520988048059	0.1
20	Balanced	0.943871709839817	0.716199739842491	0.1
20	Unbalanced JS	0.942726074642323	0.228730676695585	0.1
20	Unbalanced OLS	0.946041180100926	0.214734480495274	0.1
22	Balanced	0.9427811134697	0.752202938330223	0.1
22	Unbalanced JS	0.957876906938908	0.229447259891733	0.1
22	Unbalanced OLS	0.960472706176829	0.216833862782079	0.1
24	Balanced	0.933963097811594	0.786381292830594	0.1
24	Unbalanced JS	0.950624614563881	0.245541742457807	0.1
24	Unbalanced OLS	0.952670723923408	0.234098592194378	0.1
4	Balanced	0.928976627995799	0.295753580006309	0.11
4	Unbalanced JS	0.903985410380396	0.365414522560235	0.11
4	Unbalanced OLS	0.923909286496392	0.28593088714661	0.11
6	Balanced	0.93952178888546	0.409054589682168	0.11
6	Unbalanced JS	0.917576028675463	0.312214476883566	0.11
6	Unbalanced OLS	0.932178500027656	0.262990881898897	0.11
8	Balanced	0.954792941486381	0.461932835493852	0.11
8	Unbalanced JS	0.926513919062236	0.294420726874691	0.11
8	Unbalanced OLS	0.936349388231432	0.258035812371878	0.11
10	Balanced	0.942869624254899	0.597407376399229	0.11
10	Unbalanced JS	0.927145839431063	0.297540874451963	0.11
10	Unbalanced OLS	0.933607564440311	0.266358975116398	0.11
12	Balanced	0.944937494159336	0.554102593713518	0.11
12	Unbalanced JS	0.891828016703851	0.3098196336661	0.11
12	Unbalanced OLS	0.897948751146401	0.286244673076646	0.11
14	Balanced	0.944406485125781	0.6231593172717	0.11
14	Unbalanced JS	0.916651155183118	0.305714809813016	0.11
14	Unbalanced OLS	0.921834745451406	0.286080152324548	0.11
16	Balanced	0.945486507312805	0.667357935575577	0.11
16	Unbalanced JS	0.923582714716776	0.246974176730731	0.11
16	Unbalanced OLS	0.928808212883003	0.229755036343156	0.11
18	Balanced	0.924280788225879	0.716690114663708	0.11
18	Unbalanced JS	0.92929140516169	0.277801002555638	0.11
18	Unbalanced OLS	0.933401418000351	0.260398516649569	0.11
20	Balanced	0.939940181613115	0.72762786991639	0.11
20	Unbalanced JS	0.94093473249609	0.236713773309565	0.11
20	Unbalanced OLS	0.944191896633555	0.22271636780815	0.11
22	Balanced	0.938456016959301	0.763694136402176	0.11
22	Unbalanced JS	0.956684294958696	0.237383848601753	0.11
22	Unbalanced OLS	0.959061709965259	0.224375402826072	0.11
24	Balanced	0.929022290218364	0.797626377505366	0.11
24	Unbalanced JS	0.948992476765463	0.253746574198502	0.11
24	Unbalanced OLS	0.951405639445822	0.241782184158539	0.11
4	Balanced	0.926491579832547	0.303814920285948	0.12
4	Unbalanced JS	0.9007086360356	0.374827933652529	0.12
4	Unbalanced OLS	0.922086946309133	0.293192853761355	0.12
6	Balanced	0.936470080114306	0.419948396059568	0.12
6	Unbalanced JS	0.915054344466533	0.320859515318952	0.12
6	Unbalanced OLS	0.930325736646615	0.270032728123666	0.12
8	Balanced	0.95121624433993	0.474036340730152	0.12
8	Unbalanced JS	0.924013448840878	0.30296011760215	0.12
8	Unbalanced OLS	0.934284528262233	0.265456459788363	0.12
10	Balanced	0.939633802240812	0.609878770739106	0.12
10	Unbalanced JS	0.924374861457199	0.306765762199105	0.12
10	Unbalanced OLS	0.931778656876564	0.275424319020931	0.12
12	Balanced	0.94146175633427	0.566418181865975	0.12
12	Unbalanced JS	0.889193846776147	0.317835168611156	0.12
12	Unbalanced OLS	0.895640230870836	0.294157390656434	0.12
14	Balanced	0.94069672024761	0.63487349243912	0.12
14	Unbalanced JS	0.914146947136009	0.314233990037899	0.12
14	Unbalanced OLS	0.920006705239872	0.293627278832367	0.12
16	Balanced	0.940897748648339	0.678840372276249	0.12
16	Unbalanced JS	0.920654641451552	0.255725094446597	0.12
16	Unbalanced OLS	0.926726669975861	0.236928494255169	0.12
18	Balanced	0.920042970204134	0.727350817641128	0.12
18	Unbalanced JS	0.92697982977764	0.28659274068142	0.12
18	Unbalanced OLS	0.931182392655068	0.269321397370092	0.12
20	Balanced	0.935451796704016	0.738060020120433	0.12
20	Unbalanced JS	0.938917037899305	0.245467348122296	0.12
20	Unbalanced OLS	0.942158962541575	0.230515561730129	0.12
22	Balanced	0.934095272000976	0.773842492663538	0.12
22	Unbalanced JS	0.954589749069011	0.245283845482138	0.12
22	Unbalanced OLS	0.957349488141835	0.231954101921083	0.12
24	Balanced	0.924457764463698	0.807400691630622	0.12
24	Unbalanced JS	0.947504699407742	0.26167254173748	0.12
24	Unbalanced OLS	0.949591197556174	0.250032926488379	0.12
4	Balanced	0.923852221087042	0.311738414177558	0.13
4	Unbalanced JS	0.898117997133626	0.382741560781333	0.13
4	Unbalanced OLS	0.920308680419837	0.30081213796964	0.13
6	Balanced	0.932994937975317	0.431107430752663	0.13
6	Unbalanced JS	0.912912669540899	0.328671306232512	0.13
6	Unbalanced OLS	0.928398140399501	0.27750465931969	0.13
8	Balanced	0.947850909171033	0.485097432139036	0.13
8	Unbalanced JS	0.921564632772782	0.310646439140462	0.13
8	Unbalanced OLS	0.932172079315898	0.273174006412289	0.13
10	Balanced	0.935733976683541	0.621226192916862	0.13
10	Unbalanced JS	0.92264536109674	0.315146637323183	0.13
10	Unbalanced OLS	0.930139092746647	0.283473823847019	0.13
12	Balanced	0.937565631600787	0.577692616464076	0.13
12	Unbalanced JS	0.887272863706008	0.325987428546253	0.13
12	Unbalanced OLS	0.893564847184186	0.301815998427149	0.13
14	Balanced	0.936868817303585	0.646203670382526	0.13
14	Unbalanced JS	0.911755604360705	0.321956454981995	0.13
14	Unbalanced OLS	0.917767376178921	0.301228902128088	0.13
16	Balanced	0.937064378431598	0.689026024885936	0.13
16	Unbalanced JS	0.918183002487885	0.263439631470408	0.13
16	Unbalanced OLS	0.924716908119247	0.244406027232442	0.13
18	Balanced	0.915932737777572	0.737235320291061	0.13
18	Unbalanced JS	0.925171854005071	0.294444345853295	0.13
18	Unbalanced OLS	0.929115809192819	0.277271420501866	0.13
20	Balanced	0.930467680639536	0.748273237512834	0.13
20	Unbalanced JS	0.936760425303921	0.253605085548257	0.13
20	Unbalanced OLS	0.94043391714328	0.237911340388299	0.13
22	Balanced	0.929575912067351	0.783744396262353	0.13
22	Unbalanced JS	0.952148078054023	0.252974161778641	0.13
22	Unbalanced OLS	0.955858455412724	0.23927531559743	0.13
24	Balanced	0.920011283689164	0.815987550634687	0.13
24	Unbalanced JS	0.946110143173167	0.269752711813537	0.13
24	Unbalanced OLS	0.948295121724434	0.25676447393612	0.13
4	Balanced	0.92164847442973	0.319589059316956	0.14
4	Unbalanced JS	0.895141622539121	0.391067344834968	0.14
4	Unbalanced OLS	0.918086420567521	0.308019721572666	0.14
6	Balanced	0.929292248266753	0.440877348131917	0.14
6	Unbalanced JS	0.910458568734852	0.336859912783607	0.14
6	Unbalanced OLS	0.925734469261828	0.284701481584455	0.14
8	Balanced	0.944284663556102	0.496277565853401	0.14
8	Unbalanced JS	0.919950340663229	0.318397599997175	0.14
8	Unbalanced OLS	0.930200864591208	0.280870978331612	0.14
10	Balanced	0.932174104850018	0.632364101013246	0.14
10	Unbalanced JS	0.919901008909394	0.323846260903719	0.14
10	Unbalanced OLS	0.928582746039994	0.291203582284683	0.14
12	Balanced	0.933961428336838	0.588528539802047	0.14
12	Unbalanced JS	0.884988954377926	0.334121264928945	0.14
