Statistic	Value	pval	qval
TPR	0.0180486372927867	0.0537347677688875	0.0975901382658353
TNR	-0.00445049923901482	0.490136811096309	0.52288718524504
PPV	-0.00404861344473146	0.52288718524504	0.52288718524504
NPV	0.00450421162611869	0.0446667670271528	0.0975901382658353
ACC	0.00967507252756919	0.038215689169333	0.0975901382658353
BA	0.00679906902688596	0.055765793294763	0.0975901382658353
MCC	0.01213781300052	0.0771570405733232	0.108019856802652
