target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
YBR289W_mRNA	0.0440858143789261	0.120773626122951	-0.199287637771253	0.0989868443020444	6.29461251161213	0.0236727431843866	0.00191459790783624	0.0127829951094795	0.011754517108472	0.0127829951094795
YDR073W_mRNA	0.343094050713592	0.525161130773381	-0.148068319661647	0.156178753241876	6.05202296311256	0.0358474317432512	0.00237636774416818	0.0342113367021119	0.0125706738084883	0.0342113367021119
YFL049W_mRNA	0.00704671907628076	0.0298674523263341	0.271004223318886	0.100572024326728	6.32397580479271	0.0341706652096129	0.00210719057919688	0.013064907536567	0.0116645304612278	0.013064907536567
YGR275W_mRNA	0.760801032928381	0.856244208602362	-0.0322389560448915	0.105899733426877	5.91602958552521	0.0137695093339195	0.00289728246103031	0.013924847848795	0.0131389585576695	0.013924847848795
YHL025W_mRNA	0.196152962779163	0.358358828551651	0.314999138106609	0.243696131242658	7.44507361773163	0.101032702361538	0.000646382004009164	0.088435324569949	0.0115212236133658	0.088435324569949
YJL176C_mRNA	0.337704649544287	0.520029973084923	0.0913782004076607	0.0953136618238543	6.36345916434541	0.0105208840959427	0.00207871644237087	0.00794114786140395	0.0115483247530372	0.0115483247530372
YMR033W_mRNA	0.697167662093206	0.815686164649051	0.0418105470068771	0.107441619821872	6.5429848678803	0.0143768785562415	0.00145746936387236	0.0158580831410491	0.0111489436246308	0.0158580831410491
YNR023W_mRNA	0.536212813576868	0.695128426172105	0.0665754505817417	0.107631468341552	5.7589966201962	0.0150681371960546	0.00354802846184605	0.0136250340506613	0.0138287710041918	0.0138287710041918
YPL016W_mRNA	0.0524545769305615	0.138758786642503	0.380301846125563	0.196094127452414	5.91345667316106	0.0895323364355416	0.0028864934880883	0.0547928667438972	0.0131501041396427	0.0547928667438972
YPL129W_mRNA	0.627786224265887	0.766945276370943	-0.0442186924131449	0.0912016887564654	6.57222095535401	0.00473258627099169	0.0013662300125909	0.00381626804162553	0.0111103920354559	0.0111103920354559
YPR034W_mRNA	0.293674175669028	0.47108659541767	0.0984300574365912	0.0937343803051044	6.87201366905712	0.0134499037235096	0.00108613210760205	0.0120930689691709	0.0109810634653577	0.0120930689691709
