sample	condition	path
SA-PE-025	mu	../../data/Gierlinski_2015/Aligned/SA-PE-025
SA-PE-039	ctrl	../../data/Gierlinski_2015/Aligned/SA-PE-039
SA-PE-064	ctrl	../../data/Gierlinski_2015/Aligned/SA-PE-064
SA-PE-027	ctrl	../../data/Gierlinski_2015/Aligned/SA-PE-027
SA-PE-013	ctrl	../../data/Gierlinski_2015/Aligned/SA-PE-013
SA-PE-010	ctrl	../../data/Gierlinski_2015/Aligned/SA-PE-010
