target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
YBR289W_mRNA	0.924368127218807	0.968015651885102	-0.0103323469195659	0.10883842531948	6.15794093943674	0.00313444219968894	0.00180451695950779	0.00209129466658946	0.00806698539551217	0.00806698539551217
YDR073W_mRNA	0.135901168839552	0.321060090181638	-0.248528910825948	0.16666036891101	5.86486741554802	0.0288115556297582	0.00312434161537689	0.0200220571892514	0.00866548360382081	0.0200220571892514
YFL049W_mRNA	0.158394066865561	0.355249850924553	0.238408057391196	0.169024591355638	6.38744229092085	0.0285192752934676	0.00183332193819635	0.021974438464254	0.00762852896771627	0.021974438464254
YGR275W_mRNA	0.523553841008502	0.719836833437221	0.0764463819126845	0.119845046173131	5.78720874634355	0.00913962248532795	0.00311945526568558	0.00708756256857006	0.00884957397784772	0.00884957397784772
YHL025W_mRNA	0.00578799099808654	0.0347094342902311	0.660878034500492	0.239487061871736	7.36686411044154	0.11102933128351	0.000661372203447993	0.0471336717998492	0.00812791679562718	0.0471336717998492
YJL176C_mRNA	0.162048919374761	0.360887563657466	0.166307644170091	0.118942941470183	6.35824885169244	0.0140413209686204	0.00217154005771185	0.00961797938027103	0.00767529227078217	0.00961797938027103
YMR033W_mRNA	0.251201736576133	0.47208948979537	-0.153184943638956	0.133502025272806	6.49119382318482	0.0157927983275723	0.00152164341899954	0.0133306822076179	0.00749809617966475	0.0133306822076179
YNR023W_mRNA	0.463154402506849	0.671277287983685	0.0894503047696034	0.121922946164592	5.69408442806628	0.00607345724911026	0.00331296847679716	0.00261190370472088	0.00907470219108128	0.00907470219108128
YPL016W_mRNA	0.00968043667823518	0.0497737260649661	0.303392894169947	0.117274143269237	5.91214499910545	0.0218996770057412	0.00290046165851501	0.00529762455015803	0.00856055890776298	0.00856055890776298
YPL129W_mRNA	0.224192282499509	0.439431417048044	-0.127804049651906	0.105149068912194	6.44755175952672	0.00479663504815401	0.00166545367478612	0.000927449488025712	0.00754815190279833	0.00754815190279833
YPR034W_mRNA	0.339049608608311	0.562582315168658	0.114551951902669	0.119818604410523	6.77796407108145	0.0117580235893754	0.00113256698075855	0.0108311813216459	0.0072096765127562	0.0108311813216459
