target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
YBR289W_mRNA	0.000967904578055166	0.00374913245089869	-0.270200601565914	0.0818865744334129	6.37425904360221	0.0255379522250082	0.00185124117459699	0.00269306219919495	0.00820687543406131	0.00820687543406131
YDR073W_mRNA	0.0627270963632044	0.130265120471079	-0.206977600998649	0.111211256557808	6.1137586100524	0.0276934504967467	0.00233143289610557	0.0162204824816442	0.0085798885723588	0.0162204824816442
YFL049W_mRNA	4.48463236273571e-05	0.000244033328182874	0.328936923014374	0.080602445660536	6.51312373996298	0.0381770346872464	0.00156335047299493	0.00558313064025173	0.00818178089669456	0.00818178089669456
YGR275W_mRNA	0.758621101703513	0.84487918623575	0.0359037795331515	0.116839280067305	5.90903582173401	0.0167684252554049	0.00281791121401241	0.0176592148359569	0.00915696416165268	0.0176592148359569
YHL025W_mRNA	0.0017284741380284	0.00626029990056331	0.413815092674701	0.132069675230007	7.31526321579304	0.0723037582160427	0.000671200847484617	0.0254923978255547	0.0102137718038061	0.0254923978255547
YJL176C_mRNA	0.878082570553769	0.923748933868295	0.0124900286420703	0.0814211233124227	6.57102849218891	0.00530978799496158	0.00174343911455371	0.00483529557334341	0.00820065986763141	0.00820065986763141
YMR033W_mRNA	0.0190041793756206	0.0486506992015888	-0.187823573249292	0.0800800080928795	6.76896265403064	0.0152963807371783	0.00125026904663259	0.00464107137429048	0.00836894249760088	0.00836894249760088
YNR023W_mRNA	0.696451790030692	0.79659148689132	0.0491553260101456	0.126002264663076	5.92028533026364	0.0197767586628177	0.0029965577006864	0.0208182983496493	0.00911773473347431	0.0208182983496493
YPL016W_mRNA	0.529749852269916	0.667485002358828	0.0796506839855489	0.126754003631341	6.23937640865536	0.0211831623616984	0.00177759272133075	0.0223222734335301	0.00834195508750485	0.0223222734335301
YPL129W_mRNA	0.748589338076355	0.837682327050671	-0.0305192413769604	0.0952238450730896	6.61377872770681	0.0111605240328721	0.0014352833294695	0.0121660876762861	0.00822464553684025	0.0121660876762861
YPR034W_mRNA	0.439350931233992	0.585801241645323	-0.0712974141647755	0.0922001304586391	6.88408688499959	0.0117260332478831	0.00112569470822358	0.0116256013766615	0.00854769287143242	0.0116256013766615
