Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
SA-PE-001_1	30.488342658131923	28.64953483497525	27.408379419873913	30.98588166373755	33.437156769481305	34.44719637972085	34.83856005761489	34.911664866201235	36.565451486861974	36.65852802545374	36.63821716300393	36.517108183787215	36.55100906682145	37.64183851706142	37.671769776903524	37.651186963555354	37.48111499868324	37.48204747854221	37.54704051853405	37.5859096112607	37.54727646012372	37.389521828627934	37.32253860251635	37.36179949801949	37.38479923466783	37.32263373158554	37.21252425253812	37.12308357921779	37.13241697704541	37.09836453244331	37.08247367827026	37.05298366682253	36.99658449019956	36.92382257622418	36.846721271827285	36.66374400068794	36.63918565217158	36.61224209004477	36.5602419610562	36.47938440205737	36.39651677120115	36.050918237371214	36.25773797047237	36.37932850701107	36.44398026474904	36.34073082773039	36.27393624740007	36.16031129241171	36.028226998382266	35.88409785932722	34.666610234168
SA-PE-001_2	30.401497553394954	28.309621621271372	27.13634247934884	30.55185549965064	33.12813007234521	34.29978552383051	34.78076453302836	34.90907225557438	36.54692827143655	36.64794535933398	36.60532551024485	36.55934218668498	36.561333056868584	37.69056088866138	37.67041244004981	37.61936851563268	37.50695913613405	37.55156283579398	37.56833485064964	37.565055611532465	37.386331409959425	37.438630765126995	37.35888472391863	37.46697110187402	37.422641707083436	37.283932538281185	37.27860735201846	37.24494182900871	37.21059594352776	37.1163511620699	37.039271493784405	37.022224634089184	36.97319425860469	36.929830330558964	36.86918357583396	36.80693256959946	36.74167986893843	36.68330908867067	36.59295479261364	36.522490299435084	36.44855703759381	36.354300376791215	36.51466613101621	36.53767534182815	36.52138444043427	36.43721604316306	36.35017608428719	36.24667081363792	36.08247559064642	35.902481379127124	34.9578310260406
SA-PE-001_3	30.293628036790842	28.163799211406623	26.92519708016457	30.64054312473444	33.20686585676487	34.29531780182187	34.770577580014304	34.922863699014556	36.519894556043965	36.59673304821503	36.62778152614472	36.53582732761315	36.516363394387774	37.64570350787148	37.59125740226717	37.55508890356722	37.448008635364744	37.338427536733846	37.37597817377744	37.42481772846054	37.42859106431743	37.40572960159617	37.29502053844488	37.48103977820334	37.41286883158039	37.2923642583606	37.25325748844627	37.22045870193538	37.18567179614168	37.11305389848646	37.06727206580593	37.00449276777294	36.898050661315565	36.889177485871805	36.84064446700131	36.77790116783599	36.70942368540044	36.6116922140449	36.542339304600056	36.49273231951068	36.39871364046186	36.33484837658743	36.47503723973773	36.49186343775005	36.49301103801644	36.38659456711634	36.33082850303072	36.19882774596363	36.046445084545525	35.827866505289926	34.52096797682545
SA-PE-001_4	30.236179300582677	28.47050202401302	27.15484167204171	30.79148412134786	33.316961223060176	30.917659566380326	32.41128101410021	34.18163865107633	36.227773718421744	36.582367887067974	36.63093092531395	36.60929157432553	36.58918720295218	37.75685054041057	37.73019595728364	37.64810290638495	37.53139196223371	37.59566802686938	37.46318552919689	37.546067791312765	37.5400340664108	37.51570608760606	37.41151874286135	37.577759327987856	37.53215824529626	37.429632588389545	37.42097057292028	37.33725927700288	37.306445043928534	37.24134718596121	37.19049736597739	37.13815238896287	37.050502277429466	36.99605394391411	36.93949501342806	36.87244283196498	36.82832182199184	36.71005598693336	36.662338876918646	36.5806494822159	36.505081301426195	36.41314784858488	36.5948178750307	36.63061355138411	36.596860290910016	36.47238695967239	36.42321511858381	36.269402800010376	36.117975009518204	35.92262290848468	34.3983748765349
SA-PE-001_5	30.549639579470202	27.937501296352377	26.920202770253173	30.363814553162893	33.07081264354942	34.15854354983455	34.68961106663182	34.86068947970293	36.48158764793973	36.60256186884924	36.59602825287652	36.53118781829772	36.47551726188254	37.6395186280651	37.58111363237244	37.580146380653304	37.51908645529555	37.4581357692313	37.518319014689226	37.46313035566378	37.35713989405171	37.34049334677391	37.18455494667325	37.3532757268907	37.32891674721336	37.242964090693505	37.24885471588796	37.17146005921046	37.162660764979265	37.087997090639576	37.012682128866416	36.985648169273894	36.925175232271776	36.836878079269006	36.80687806544125	36.71768279951271	36.674818821791995	36.56979561189906	36.5431453726097	36.442226932878675	36.35890085911865	36.263785238314505	36.45105388262722	36.459528915917545	36.41884211879981	36.3142904354776	36.25855903692426	36.10907197763222	35.954945705305576	35.72285645542	34.08466529218745
SA-PE-001_6	30.5773622461464	28.312349678983878	26.88870230252899	30.52815599594506	33.247064177863564	34.34109205112405	34.6968548165441	34.869428312340084	36.452013453409656	36.567276986842	36.5126429013524	36.49602628171692	36.492059760336296	37.62885368423145	37.574851555319164	37.530821591529865	37.413348266334744	37.41983713067039	37.48154542856183	37.33363880185968	37.27849202274769	37.25109033072166	37.26655544596463	37.34326345940707	37.339963850987104	37.200727778192835	37.21184664977336	37.01361242692574	36.99509308336549	36.99686489220754	36.85173558443303	36.886377360326975	36.87611183575161	36.78836103226885	36.730422540424314	36.65490030233845	36.62198509761399	36.50812941538533	36.4739955351788	36.3848642972636	36.3162798731426	36.200596863110114	36.38373061377241	36.368829598597905	36.3812185521066	36.24874414052192	36.167226539982906	36.041340378529654	35.87389176269962	35.66743799183117	33.98013586380993
SA-PE-001_7	30.703742397892643	28.36546954501196	27.51178363644878	30.895432034374792	33.46131893837738	34.452713936851445	34.815708070465526	34.95340101287871	36.5668288413686	36.536751435647105	36.607183591128134	36.55708651775444	36.482991033294525	37.68912083872256	37.66248877076097	37.6270600843007	37.562688622957545	37.52997163961153	37.61304836229387	37.566228154454045	37.52923208421674	37.476455064474266	37.431369097887746	37.493584868287556	37.47419172354623	37.34515276340202	37.33624688016888	37.28213607711614	37.23953198092658	37.17217700025782	37.09718156192592	37.070768561683174	36.988586410373586	36.91600556119821	36.8639810148487	36.80283313229699	36.72782692896662	36.63811789072773	36.57187870215026	36.4713912091946	36.40258187723273	36.32377778244261	36.474010871571956	36.50584566329346	36.42847492804944	36.32216949167139	36.286960949429805	36.141521514118566	35.957430351805534	35.743647708966115	34.160767716630794
SA-PE-002_1	30.495853382884196	28.657284582051556	27.431992740356755	30.984261162638497	33.44170590083869	34.46446652577923	34.875471747071494	34.94264290800896	36.604061854005636	36.70083523377608	36.677179406600565	36.55109932564315	36.58941499038487	37.6908229517744	37.737340312354945	37.71472816701216	37.53537346222708	37.53801726399672	37.605556740829584	37.640299525153594	37.60134020856338	37.44066366055546	37.36852203696709	37.41649320021104	37.431026902196635	37.37503279525096	37.2737769173329	37.19650914374843	37.19674051244201	37.16078322267038	37.14632087738468	37.10879662331447	37.05753728567763	36.990529740607585	36.924087282938686	36.73122814250581	36.71518946284983	36.70921063632878	36.64719878102575	36.57264112048759	36.49184299219545	36.148364994565355	36.34399911777171	36.46866359712728	36.53145605148062	36.46281739315956	36.39562244665546	36.27550605594942	36.154078575979746	36.00096007196215	34.800779301655766
SA-PE-002_2	30.413895170414524	28.32670178511518	27.15394458024159	30.562678006817453	33.14690709296803	34.323339534978295	34.82445132870606	34.93877073811194	36.58910325956716	36.68669129896141	36.64145487395556	36.60088928974463	36.60376499396538	37.73736759778484	37.741055906304325	37.68135672239433	37.561049167280295	37.599723758109704	37.61926402305211	37.613021711566866	37.431997583246556	37.48373121170266	37.398419379341696	37.52196718501961	37.47186965798001	37.334952006239405	37.33932365760529	37.315319515429316	37.27416426661554	37.18430359303266	37.12277804646731	37.091287632874234	37.04778316609225	37.00633381116499	36.95887452489154	36.880664810530305	36.82185157590044	36.78520087084457	36.68151067423645	36.61528451317087	36.546574063181254	36.43980337735485	36.59910577217742	36.62759485103707	36.60951567621894	36.5545933565423	36.45858695446947	36.35009375086235	36.197832474253005	36.0189113861911	35.093580934371495
SA-PE-002_3	30.303862481117616	28.18487498116356	26.95145821617986	30.644610572664558	33.213215279385764	34.3153664928201	34.80925613516663	34.955660672084214	36.56792622730898	36.63977962283013	36.6640137607092	36.57415162507948	36.55620242650112	37.683778608418876	37.652476670378825	37.61857989775029	37.50302742953333	37.383023313081864	37.41943332635007	37.47151525843597	37.47968641460752	37.45554342672533	37.34184850723503	37.5353680364894	37.45845802138349	37.34230572738065	37.31393749609489	37.2838565269646	37.248047074562905	37.18214342157976	37.14832603765818	37.07234810477839	36.968662043009566	36.95803792280918	36.92179624300295	36.84915631121843	36.790064650340526	36.715526005314636	36.6307329856402	36.576413468147116	36.48620510954539	36.41976631787091	36.55177797624955	36.560729052958884	36.56441915767112	36.503824992005995	36.438240364011925	36.30691086044862	36.162082336380244	35.94458006681883	34.64949591846486
SA-PE-002_4	30.242200029217283	28.48843830417759	27.169688996482687	30.7977987507204	33.3231864817095	30.71127305476314	32.333849986916434	34.179231168097296	36.245606571640934	36.60855103151453	36.652970932015236	36.63991947588691	36.62168676826361	37.78919891671309	37.787991697154844	37.70690651593546	37.58156678476656	37.633280570989164	37.50393550365296	37.58836140814456	37.58549426169373	37.551370242358956	37.453233084879415	37.62146282261418	37.582810124590836	37.48060421981028	37.47150993949454	37.396113298839815	37.35473311939433	37.30504848945048	37.25719957169391	37.20023710947972	37.10498234923	37.05924365768262	37.011072065549456	36.93479489307599	36.902735347613415	36.81115361708344	36.74454864918232	36.659261477013864	36.58232290233562	36.492667585994326	36.6816897542056	36.70358024076967	36.67181447347087	36.58805558989211	36.52310493017551	36.376691030455	36.22430364140442	36.02574251226885	34.51666990411273
SA-PE-002_5	30.554756343954477	27.93639826502808	26.937664275519474	30.370166268142135	33.07310700847096	34.1757715620308	34.72496895215852	34.887684665146715	36.51841183339821	36.63890340877495	36.62970305288328	36.575519472094015	36.519168103208585	37.67828875419377	37.645490185174886	37.63805260523828	37.566533207288366	37.50692135164692	37.56634599343825	37.512746297429054	37.40351721069899	37.3972418395151	37.21871397060186	37.40395280728095	37.385042354816584	37.293889599436504	37.30192867337671	37.23825557470945	37.21758419989249	37.156724869784426	37.082413946505035	37.05361267122653	37.00573226565831	36.909683219336785	36.87818124525015	36.78827781793917	36.74912231922742	36.66532929247993	36.62990324195073	36.53570779810562	36.45737733785612	36.358099316020684	36.54145489258374	36.53912676787336	36.50065524847541	36.43211088250014	36.35938664294056	36.21293721848412	36.06993364103135	35.834875530593706	34.210663775046804
SA-PE-002_6	30.5950760317259	28.34268838184491	26.907181043552225	30.573072345791395	33.27033139834207	34.377034165777516	34.74797795900704	34.91370231228968	36.49814770599076	36.61411194347239	36.55305152846899	36.54551830655932	36.534052923751894	37.66956324660693	37.64083030524611	37.602072965088084	37.47206915977108	37.4745808555248	37.53635570014102	37.39325619483223	37.336075710885446	37.30718514732546	37.31697637718899	37.40306514553472	37.39865545466077	37.26094121904449	37.27925244174507	37.086709930385084	37.059416107683006	37.06810678017952	36.934657670698314	36.950035628213065	36.93993661535706	36.87418670675929	36.81999358319094	36.74051841848041	36.71352305201346	36.615769308253064	36.55936574319333	36.46726308170986	36.403763719660056	36.28544074524522	36.4782378770808	36.4581741566746	36.45829353916865	36.36305428918917	36.271090596390174	36.15072972549488	35.99210489990524	35.79004256732053	34.112273639599174
SA-PE-002_7	30.70194119156889	28.393594089271506	27.51903906334343	30.864535557530438	33.45392038333368	34.46713858882358	34.768391844578844	34.950258708765496	36.59106212513682	36.563450317693075	36.632464107152686	36.589388400610005	36.508507682617214	37.71563770620379	37.7180185275085	37.67657078796606	37.606242899540064	37.571104693935766	37.6513112033729	37.60751624570934	37.56765214556327	37.51560867877287	37.46499584964935	37.53691023731712	37.51209035395592	37.38953239382645	37.38176719857408	37.341943851225125	37.28618973501387	37.225737607753615	37.15399052104239	37.118767949998464	37.03920562074017	36.97320110361434	36.9358400831643	36.86696785605254	36.79920882376703	36.740345340632615	36.64676333420797	36.552261887483674	36.485927058212866	36.40367218450007	36.55469561592848	36.564908838852716	36.49354068165845	36.43604348966917	36.39258742368681	36.24706061513845	36.06828166903438	35.848502549194706	34.279469098297895
SA-PE-003_1	30.474246115664688	28.65278272485927	27.404831834282835	30.974688130328854	33.438680048550374	34.45208567824996	34.8533854659608	34.92240556388927	36.58083033625002	36.67505103691959	36.655967401503325	36.53474275967768	36.56813301554413	37.66188218867479	37.7000365688264	37.68071072430022	37.49975473783408	37.500079040227746	37.56182811566062	37.6095568794511	37.56722116948328	37.406778327101705	37.33457830172742	37.380394495543555	37.39512922229165	37.34583525845476	37.24281225808772	37.160901479239556	37.15546703954657	37.12587546381009	37.115465899739	37.08003755937346	37.026087345897	36.957231434536034	36.90616601975802	36.701681148328994	36.68827484017252	36.68379159704003	36.60912334549806	36.52907968001259	36.460430698003236	36.1128565545381	36.31744455141448	36.43923366937303	36.50606167308826	36.450188034327205	36.37739842991506	36.25051477916568	36.1332170458223	35.97952552795819	34.76745075929503
SA-PE-003_2	30.395907297359596	28.29403436795452	27.12558665435505	30.549799981723528	33.12939266185932	34.30506299245891	34.804741108290834	34.927696768746685	36.567270381337266	36.66727201803643	36.624142949304606	36.582678540009795	36.57677960345507	37.708703011390064	37.71025173796992	37.65753979565811	37.53104818305935	37.56891799182469	37.589096446589735	37.580381705522356	37.40514782803202	37.45402580256225	37.371548440157504	37.491074533915814	37.45117794602439	37.307684438946346	37.31324171455148	37.288870582105694	37.248118136945344	37.149050782683176	37.08360941265687	37.06259010369853	37.0188445449499	36.97739036502483	36.929057274923174	36.848653746745356	36.79586201534951	36.75326350992863	36.64581421009489	36.57883638873242	36.51136551174809	36.41670769780532	36.57771184001811	36.60106685506893	36.584751692278736	36.54159739110154	36.44436041206629	36.342150595417515	36.18221849115432	36.00067445644539	35.05601193699254
SA-PE-003_3	30.285491701355497	28.15316754739591	26.926308064178556	30.6364170484376	33.200053897073005	34.290559257369466	34.7836778049391	34.93364914647008	36.53059684852597	36.60991719822769	36.63473721073071	36.55273363491983	36.526906814149484	37.64411037682809	37.616645440704325	37.58136953283276	37.45882550891012	37.34432569153091	37.37479463710444	37.439407515221816	37.43659912205225	37.413819401031155	37.31282599863479	37.49600217777006	37.42492712267603	37.31474385894835	37.278113000548544	37.25601588458913	37.2175143600133	37.14070966303386	37.10259458320737	37.03235807902077	36.93330715996624	36.924768440938244	36.89340417469765	36.81695172381717	36.752613802848884	36.67782682624213	36.58786796037881	36.54174697649732	36.4512983859605	36.38484904031747	36.527212550083924	36.54467574891625	36.54660318485191	36.48650726447732	36.41858942878678	36.28087214766156	36.12728874467698	35.91320108943221	34.60453843449522
SA-PE-003_4	30.221968070939543	28.463145950228625	27.144409654068273	30.779154720685998	33.31511202923884	30.677867725447978	32.29993382616798	34.154517762861936	36.2180177841241	36.584868499092444	36.631719870576816	36.61745780578913	36.59720204803161	37.76043729936161	37.755831242553576	37.67123691350923	37.54496649903127	37.60448713788105	37.4737158583686	37.55722171367098	37.55269026095766	37.52137295407596	37.412486039708774	37.5927228181846	37.545023198143255	37.446335409565286	37.44456878460231	37.3692350618356	37.32664433020071	37.268011480078094	37.221716655140334	37.16398651456384	37.07466228591422	37.0308652060677	36.98257695971901	36.90542961140965	36.86779184562324	36.77609446072057	36.71919540975926	36.62450341649452	36.55792896048892	36.46767292669625	36.64486361998465	36.67311096836861	36.650226162313146	36.565117811056176	36.50747346518861	36.347975879004096	36.19316641413181	35.99134890917623	34.458343684651474
SA-PE-003_5	30.543513742843576	27.92192826233059	26.897649829733535	30.365870071592358	33.064902791989475	34.16073811832417	34.70811215703438	34.875525136035854	36.500694126693475	36.62111753965172	36.61198707064696	36.555879144974305	36.49670235760888	37.64529996220145	37.61596154062393	37.60387465412597	37.527388379670434	37.470503724065395	37.53124002598326	37.48148087280918	37.3773895473602	37.353742532191475	37.184889402480174	37.377005507170914	37.351471159360244	37.266977992940234	37.27242202210999	37.19815781802896	37.17641197478828	37.10833825637104	37.04270717195053	37.010809347399814	36.9623173538593	36.86681330543564	36.85445914772487	36.75118088033429	36.71918272095934	36.62603567594966	36.590866590146945	36.49042883622848	36.4102907201532	36.32300547776243	36.503398842170725	36.51078988590373	36.47682741285791	36.415874007139344	36.35160349753358	36.190451930537165	36.04474241196268	35.80570334279306	34.150100032089846
SA-PE-003_6	30.57462179424158	28.298022343073285	26.874629383366365	30.516392509533837	33.25339483974011	34.34222123333627	34.72143255079108	34.88967223604938	36.46606022660437	36.591518808093454	36.54194457524186	36.52873432371412	36.513499155709866	37.641839017415315	37.60636417105197	37.56888941782789	37.44573172098928	37.440982481195356	37.49947393566837	37.35772029590687	37.300745803990154	37.264683662856584	37.27670811363679	37.36628307090485	37.35651465994684	37.22693035425689	37.239166093170304	37.05375687548833	37.029099981544626	37.028984419871776	36.880555799902375	36.91565808923086	36.89877659858877	36.832652036903845	36.780965785120834	36.70950123926958	36.67886790955833	36.57838099821138	36.5295044473996	36.42817238351987	36.3675740845187	36.252627303256254	36.44796706319843	36.43137878874119	36.43362792935905	36.341870236314996	36.2520296596795	36.127824146180345	35.96264167084931	35.767347618135936	34.056755442178634
SA-PE-003_7	30.682988779109134	28.36119613147071	27.49231650255847	30.850703200530894	33.44143072253644	34.44840781925304	34.75488737001317	34.93668129772921	36.57097120835958	36.5407728300158	36.61581771694789	36.564147720956555	36.4889040851319	37.685431706175024	37.67716981576988	37.64371397676322	37.56804117807564	37.53682816979219	37.61229548233661	37.57390932334424	37.531098811885855	37.47175037139094	37.429766520580614	37.50811737637987	37.47979666977703	37.36179507304864	37.353225964016346	37.31010756020576	37.24846575960816	37.18410210977002	37.10942103437009	37.08075672798687	37.01222608865548	36.9424746595162	36.91001795477284	36.83033110218051	36.76562385256201	36.70235972202104	36.614842163061674	36.51233691642778	36.44087153073702	36.36132750785732	36.522818057179045	36.541903340665705	36.47257096851346	36.412302893312265	36.359481501194175	36.21259057391269	36.03183350906328	35.817234560748105	34.21835563924718
SA-PE-004_1	30.484400862909997	28.653540868741654	27.420906493967742	30.964754642854793	33.43707125803771	34.45950231402821	34.86999458488899	34.94032744978964	36.60166048788616	36.69941913616921	36.672723406214445	36.552515615031645	36.587882099659964	37.68656975737233	37.73724708471908	37.71366997638836	37.53771010959571	37.530729110716	37.59531855979971	37.63602397118372	37.594529312850916	37.44144226110481	37.37257059923574	37.416880238352576	37.43442234796583	37.37317897709211	37.26608145466982	37.195905891070765	37.19159682196562	37.155651008153356	37.143022508884506	37.10891333849267	37.07077188351592	37.00606459547805	36.940407470660844	36.7482603681837	36.73297418943242	36.72545661224517	36.665864630994164	36.58555710968998	36.50729779383554	36.160875384483845	36.357550791329686	36.46844820895751	36.539334094810485	36.48062508358345	36.40718236646928	36.29357629716024	36.17297771912016	36.020185538803545	34.81471660553657
SA-PE-004_2	30.399756995330392	28.31278951083061	27.149579448873776	30.548313556401418	33.13061033039607	34.313217824453076	34.81968932398017	34.9385513089991	36.583142941138256	36.68397721679826	36.6417674047828	36.60103026492684	36.60087776766023	37.73788857900074	37.74009125612604	37.685981702530135	37.564656638916205	37.60294446346837	37.620002136062794	37.6088830483598	37.439605026574164	37.49092393524427	37.4020962043045	37.52159075018746	37.4778344947716	37.33161714267468	37.33722485804542	37.31782852700853	37.2739428966553	37.18360230474569	37.11950115226274	37.09752227726315	37.05177364781169	37.01678681102341	36.96666145496706	36.891271100501754	36.836315930293885	36.79454379093891	36.68599711741629	36.624705878466834	36.559625330181355	36.45641440939515	36.61850579104241	36.63941828623902	36.61663123077956	36.574375724637285	36.47668058043653	36.37669797723662	36.22384396611808	36.0461163845926	35.108478958129865
SA-PE-004_3	30.27954375881453	28.16504121380923	26.93252802384047	30.615351064607047	33.200043062508165	34.30362942774465	34.800637745782865	34.9488430687074	36.55336429996303	36.62895505336873	36.65413610409393	36.572186711950565	36.54966358107375	37.67970460669207	37.65021509113975	37.608659770761335	37.4909325191678	37.37285213286721	37.41165875895844	37.47516599545242	37.47014517268177	37.44680839287177	37.33249846679759	37.52311261122636	37.45726461191713	37.339334778344316	37.30805357463098	37.28261569866429	37.23965226747906	37.17077218051272	37.13516646039467	37.060790645361976	36.96844149144617	36.952326814547824	36.918503926547984	36.84951867407327	36.78555756538527	36.70451315011657	36.622702133642115	36.579667854114405	36.49298103257031	36.425672893202766	36.557389924922894	36.56984539563264	36.57293615457337	36.51090898423403	36.44404586101769	36.31344026267023	36.16489674961089	35.95410632564998	34.64321438929836
SA-PE-004_4	30.231135688022444	28.484521264432484	27.167645468173223	30.78574228603992	33.32172080322218	30.715683570048434	32.33628183675914	34.1752677790401	36.243065814419715	36.60714246824944	36.647463887789904	36.63793841898754	36.62010886595743	37.79397559166676	37.78858734381824	37.70758153755319	37.57855638271744	37.631279181049244	37.50189952826365	37.58920704979063	37.58930323609442	37.55459570900195	37.45174774748615	37.62302107266482	37.576736707234296	37.476968522275904	37.47254576713719	37.39947805318921	37.355846977874734	37.303351034033014	37.251805459268425	37.20140504596979	37.10995062436405	37.06804364317422	37.01545272291932	36.94031307129522	36.90146711335828	36.80897702538714	36.749647014413426	36.67118076854671	36.59388025228639	36.50133027472986	36.68020352779905	36.697561223489785	36.67209605079605	36.58983195829265	36.52951407163278	36.375487737153684	36.22855983090569	36.02609008119576	34.490740707132666
SA-PE-004_5	30.543807937088335	27.927724017582044	26.915045762390733	30.34733483276155	33.056853591811084	34.16398533757759	34.72252770877627	34.888530772419934	36.515628987298676	36.63867881590382	36.626093546702386	36.567927663891304	36.51267371076323	37.671899983430315	37.64538079860284	37.64031620829701	37.564482987409136	37.50094419232579	37.56168012399996	37.51018895731943	37.39612521087894	37.38339731655018	37.214605372352956	37.4015204957202	37.38318198057362	37.298810828043734	37.30693696458772	37.23670877137542	37.21196820578289	37.14558389958072	37.07503969383139	37.04374816038056	36.99270514422267	36.908906589630455	36.88388077378326	36.79467155320861	36.75600476256062	36.66579227209518	36.633763143010356	36.532267886344556	36.45132952486956	36.357132619694994	36.534544295239606	36.53209030407817	36.499476691628395	36.434541009268536	36.37608777877445	36.216074970478694	36.06496854207057	35.82413762485816	34.17484302496709
SA-PE-004_6	30.576977696681567	28.322450212319556	26.8852281667978	30.51189659116907	33.239524220053454	34.355401593652175	34.73309604321163	34.899193548387096	36.48350268677704	36.60225586041035	36.54715740105239	36.537065247110945	36.52939342451077	37.66752250140895	37.63427677430515	37.59531222971804	37.45588649692262	37.4665840824503	37.5301537015027	37.38566480294178	37.3249361088326	37.29123840054461	37.30292085865265	37.39138362042509	37.38833344493363	37.251888834948744	37.26093613115266	37.0718873283448	37.052417959835054	37.06209510018916	36.91927113849038	36.940693512117	36.93227257255414	36.85847408920211	36.811660556550656	36.73325158611915	36.70576513160464	36.60819718097662	36.55883218664033	36.460815742337246	36.39707035282432	36.28163589288604	36.460575104206775	36.442438661689295	36.449957731389254	36.361513802166165	36.272682061927	36.142986479624575	35.98750913727394	35.78430732488519	34.07699583172908
SA-PE-004_7	30.688952606915286	28.378516538028215	27.502068575712258	30.843390348671768	33.43968421606486	34.45937894451921	34.76191065119859	34.95050552225909	36.5860337101629	36.561901321317315	36.63387647345676	36.58936100619515	36.50740613569879	37.721957604368555	37.71508441101599	37.681774022681374	37.599766535994085	37.571361929419446	37.64711568347619	37.605796242987	37.561893727227904	37.51137187767658	37.459587239543076	37.53218293727445	37.516220161331006	37.39088188533034	37.38824673630447	37.34341665676723	37.28202332578806	37.222382602158135	37.15169085112927	37.11722833094391	37.05337993934492	36.98366511367538	36.941314504331075	36.87328665138085	36.80699838734087	36.74327150117247	36.65441089122606	36.55491801366828	36.48297106814665	36.410466499488216	36.55294951720577	36.5737714255028	36.494210320476	36.43771083768773	36.39434858714679	36.244904501613476	36.07393985155725	35.84736259986906	34.252433498830236
SA-PE-005_1	30.55465842408218	28.70644943917098	27.467791375084232	31.047692588102453	33.51608824123324	34.525479886767826	34.917007439653496	34.9911543979568	36.65957062225513	36.75433563826207	36.73251885627334	36.60895118053544	36.640279858633725	37.75203953294374	37.801759742376376	37.77690720058931	37.599529283283886	37.59799476494038	37.65976423324376	37.70708699410621	37.660189269867246	37.49523800160183	37.430397227732655	37.4758625331729	37.49423742606291	37.44568871437009	37.34549351516632	37.26698879703291	37.27263301112734	37.22328338522763	37.21281175339708	37.18143769772333	37.133843427701045	37.0647764889706	37.011342881279404	36.82080697967614	36.80298569320675	36.80144890598447	36.73743702916039	36.65670805353646	36.588105478661575	36.232565368288185	36.44308857929618	36.5622561428002	36.63517715027314	36.57674217747321	36.51877610628638	36.384472852487335	36.263670939973785	36.12264348578434	34.897482225225545
