Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SA-PE-001_1 - illumina_universal_adapter	0.19471899302924278	0.19557891681849696	0.1957938977658105	0.1972987643970053	0.19971730005428268	0.20100718573816395	0.2036407023427549	0.20681167131562966	0.2104663474199599	0.21524967349768626	0.21610959728694046	0.21922682102298685	0.22105415907515197	0.22148412096977904	0.22336520425877257	0.22379516615339964	0.2243326185216835	0.22782605891552862	0.22922343507306664	0.2847422647167895	0.28673083847943975	0.2883969408211197	0.2915679097939945	0.29608250968757893	0.29914598818679694	0.30134954289676075	0.304305530922322	0.32080531862863654	0.33166185646797053	0.34649554183260506	0.775382531723126	0.7859703433783181	0.7936021670079489	0.7963431740861966	0.7972030978754507	0.7984392383225036	0.8006427930324675	0.8020401691900055	0.80322256440023	0.8040824881894842
SA-PE-001_2 - illumina_universal_adapter	0.18326589105344948	0.18369786722564382	0.183913855311741	0.1853717748928969	0.18736966468929575	0.1883956080982573	0.19087947108837477	0.19449727153050236	0.19789908388653282	0.20335278306048638	0.2048646996631666	0.20794252989005127	0.2091304643635857	0.2097784286218772	0.21075037500931448	0.211398339267606	0.21199230650437323	0.21631206822631663	0.21782398482899684	0.27273895571920254	0.27500683062322284	0.27657274424742734	0.2795425804312634	0.28375434811015826	0.2871021634446644	0.28910005324106325	0.29244786857556937	0.30583912991359397	0.315990569960161	0.33046177172867147	0.7537444234576021	0.7652997860638007	0.773291345249396	0.7755592201534164	0.7766391605839021	0.7776111069713395	0.7797169908107868	0.7809049252843213	0.7822008538009043	0.7835507793390116
SA-PE-001_3 - illumina_universal_adapter	0.18615778085525672	0.1870850244165047	0.18713956815540167	0.18866679284451598	0.19095762987818746	0.19204850465612627	0.1945575166453855	0.19783014097920193	0.200502784185152	0.20530263320808273	0.20655713920271235	0.20999339475321957	0.21184788187571554	0.212338775525788	0.21430235012607785	0.21501141873173807	0.21588411855408912	0.21942946158239024	0.22139303618268008	0.27517316273506304	0.2786094182855703	0.28073662410255096	0.283463811047398	0.28777276642025623	0.2912090219707635	0.29322714030995023	0.2969361145549422	0.31471737343534467	0.3236080028755459	0.33833481237771973	0.780030009965141	0.7912114764390138	0.7986839686678946	0.8015202430905355	0.8025020303906805	0.8031565552574437	0.8052292173355274	0.806483723330157	0.8076291418469929	0.8086109291471377
SA-PE-001_4 - illumina_universal_adapter	0.17027171673351027	0.17099576372174632	0.17129744996684468	0.17238352044919875	0.17419363791978887	0.17540038290018228	0.17805522185704778	0.18113242155705098	0.18433029575509352	0.1893382874237262	0.19042435790608025	0.1933808831080441	0.19507032608059488	0.1956736985707916	0.19790617678451938	0.19838887477667674	0.19887157276883413	0.202190121464916	0.2042415879315848	0.2560109475904621	0.25800207680811127	0.25938983353556366	0.2618033234963505	0.2663286171728258	0.2696471658689077	0.2720003185806748	0.2741121222963633	0.29022216778461535	0.30066051186501835	0.31393470664934586	0.7388296142458658	0.7502936915596032	0.7599476514027506	0.7629645138537341	0.7636282235929505	0.7645332823282455	0.7664640742968749	0.7676708192772683	0.7689379015066814	0.7703256582341339
SA-PE-001_5 - illumina_universal_adapter	0.16558741010228392	0.16634793682926727	0.16683190838280215	0.167868990283234	0.16939004373720068	0.170703680811081	0.17291612219866895	0.17713358859375844	0.1801065567083297	0.18598335414411013	0.18674388087109348	0.19033909812592387	0.19130704123299358	0.1919984291666148	0.19296637227368454	0.19365776020730577	0.19476398090109973	0.19752953263558462	0.19884316970946497	0.24682549230277814	0.24993673800407365	0.2513195138713161	0.25353195525890404	0.257472866480545	0.2603766958017542	0.2632113863296012	0.2668066035844316	0.2807726398435804	0.2903829321209154	0.3038649968265294	0.7208410595934915	0.7316958501513449	0.7387480070742813	0.7410295872552314	0.7417209751888526	0.7423432243291117	0.7441408329565269	0.7452470536503208	0.7463532743441148	0.7472520786578224
SA-PE-001_6 - illumina_universal_adapter	0.1768381745639534	0.17779776155771126	0.17827755505459023	0.1794427678327248	0.18115631603586388	0.18293840616712853	0.18581716714840218	0.18849030234529915	0.19219156646407956	0.19788054649850134	0.1989086754203848	0.2016503525454073	0.20363806846104865	0.20452911352668096	0.2061741198016945	0.20665391329857344	0.20692808101107568	0.21014955163297716	0.21172601597986512	0.2648460102771767	0.2679989389709526	0.26936977753346386	0.2715631192334819	0.2753329252803879	0.278143144333536	0.27985669253667506	0.2824612858054465	0.29616967143055917	0.30569699944001244	0.31824017228699053	0.7389505271216983	0.7496430679092861	0.7579366412124793	0.7600614409843718	0.7613637376187574	0.7620491569000131	0.7642424986000311	0.7651335436656634	0.7667100080125514	0.7679437627188115
SA-PE-001_7 - illumina_universal_adapter	0.19468499730605912	0.19560002217589684	0.1961382720993308	0.19780684686197603	0.20055192147148918	0.2022204962341344	0.20582677072114186	0.20894862027705877	0.21190899485594547	0.21723766909794157	0.21842181892949625	0.22154366848541315	0.22369666817914896	0.2242349181025829	0.2261187928346017	0.22671086775037907	0.22730294266615642	0.23085539216082046	0.2324701419311223	0.29054730866964534	0.29345385825618864	0.29469183308008673	0.29765220765897343	0.3017967320694149	0.30610273145688643	0.30820190615827886	0.31207730560700325	0.327848028363618	0.3385053768476101	0.35276899981860976	0.7982784614448889	0.8087743349518508	0.8159330589335224	0.8182475336042884	0.8186243085506921	0.819431683435843	0.8215846831295788	0.8224997079994165	0.8235762078462844	0.8248680076625259
SA-PE-002_1 - illumina_universal_adapter	0.037552364285323006	0.037552364285323006	0.03776859670923082	0.03805690660777456	0.03834521650631831	0.03884975882876987	0.03921014620194955	0.03993092094830892	0.04072377316930422	0.04209324518738702	0.0424536325605667	0.04295817488301826	0.04353479468010575	0.0438231045786495	0.043895182053285436	0.04418349195182918	0.04418349195182918	0.04476011174891668	0.045841273868455726	0.05312109880668533	0.05391395102768063	0.054130183451588446	0.054995113147219686	0.05528342304576343	0.05643666263993842	0.05658081758921029	0.057301592335569654	0.06141000838981805	0.06321194525571647	0.06551842444406644	0.13456864514529376	0.13730758918145936	0.13781213150391092	0.13802836392781873	0.13831667382636248	0.13838875130099842	0.1387491386741781	0.13903744857272185	0.13925368099662966	0.14004653321762497
SA-PE-002_2 - illumina_universal_adapter	0.03492963965102312	0.035074877237929666	0.035074877237929666	0.03536535241174275	0.035655827585555834	0.035946302759368914	0.03667249069390162	0.037253441041527786	0.03848796053023338	0.04001295519275206	0.040230811573111876	0.040521286746924956	0.04073914312728477	0.04088438071419131	0.041392712268364204	0.04161056864872401	0.041683187442177284	0.041973662615990365	0.04306294451778943	0.04923554196131742	0.050179586276209935	0.051268868178009	0.05192243731908843	0.052648625253621135	0.05366528836196692	0.054101001122686544	0.05489980785067252	0.0594021730447753	0.0606366925334809	0.06245216236981266	0.13042335304207386	0.13383643633437758	0.13427214909509722	0.13470786185581685	0.13492571823617666	0.1355066685838028	0.1360150001379757	0.13645071289869534	0.1367411880725084	0.13688642565941495
SA-PE-002_3 - illumina_universal_adapter	0.03734209549432334	0.037562619680313436	0.037709635804306835	0.03793015999029693	0.038371208362277136	0.03903278092024743	0.03984136960221112	0.04028241797419132	0.04131153084214511	0.04212011952410881	0.04226713564810221	0.0428552001440758	0.0433697565780527	0.0435167727020461	0.043590280764042796	0.043737296888036195	0.04403132913602299	0.04461939363199659	0.045574998437953686	0.052190724017656634	0.05255826432764013	0.05307282076161703	0.05351386913359723	0.053807901381584027	0.05483701424953782	0.055204554559521314	0.05557209486950481	0.05976205440331668	0.06159975595323417	0.06358447362714506	0.13327011640001618	0.13584289856990064	0.13621043887988415	0.13665148725186435	0.13709253562384455	0.13731305980983463	0.13753358399582474	0.13804814042980165	0.13848918880178185	0.13885672911176533
