Total	Median_Delta_Err	Mean_Delta_Err	SD_Delta_Err	Median_Frac_Delta	Mean_Frac_Delta	SD_Frac_Delta
3	-0.000147651447088606	-0.00424898458232192	0.0159043862693598	-0.0107998869248915	173.240745366582	1154.42478233362
10	-0.000474023328559333	-0.005206044550669	0.0270030271890255	-0.0229576226430492	12.674228501437	161.647725830868
25	-0.000425870316381898	-0.00450268717481602	0.0186871543731786	-0.0419174784978743	20.1400686888579	425.671375521904
50	-0.000185100908189114	-0.00275843380297225	0.0122826098419021	-0.0210277308694212	10.2131145064248	283.615671728773
100	-0.000111449110570303	-0.00146502617377053	0.00787403358887168	-0.0102945010195312	1.17857488748007	28.1722163326727
250	-0.00010649254954907	-0.00163104978839889	0.00941807364409414	-0.0082864791020197	4.71518637311692	190.372732779292
500	-6.44969207780041e-05	-0.00126372622340935	0.0129642773341945	-0.00633293718072246	5.25688823937518	494.637389804762
