Total	Iteration	Method	MSE	Mean_Balanced	Rel_MSE
3	1	Balanced	0.0145180808703145	0.0335501563589254	0.432727666452505
3	2	Balanced	0.0831771332484448	0.0335501563589254	2.47918764844495
3	3	Balanced	0.0116004063188738	0.0335501563589254	0.345763107473199
3	4	Balanced	0.0158065648573697	0.0335501563589254	0.471132375309024
3	5	Balanced	0.0187086401536773	0.0335501563589254	0.557631981011624
3	6	Balanced	0.0803326586576143	0.0335501563589254	2.39440489630515
3	7	Balanced	0.00216294503014357	0.0335501563589254	0.0644689999952312
3	8	Balanced	0.00832432715753195	0.0335501563589254	0.248115897537908
3	9	Balanced	0.0347398568576121	0.0335501563589254	1.0354603563083
3	10	Balanced	0.12662528575635	0.0335501563589254	3.77420851341767
3	11	Balanced	0.0309049220719718	0.0335501563589254	0.921155828346836
3	12	Balanced	0.0505554069679388	0.0335501563589254	1.50686054714882
3	13	Balanced	0.0096019855185354	0.0335501563589254	0.286197936480882
3	14	Balanced	0.040438567958657	0.0335501563589254	1.20531682553244
3	15	Balanced	0.00121084272160658	0.0335501563589254	0.0360905239502544
3	16	Balanced	0.0037241532009637	0.0335501563589254	0.111002558710072
3	17	Balanced	0.00726606676466088	0.0335501563589254	0.216573260849435
3	18	Balanced	0.0030025442968545	0.0335501563589254	0.0894941968297482
3	19	Balanced	0.0113332039184871	0.0335501563589254	0.337798840555094
3	20	Balanced	0.00173751362142744	0.0335501563589254	0.0517885402034856
3	21	Balanced	0.0713261594226674	0.0335501563589254	2.12595609569171
3	22	Balanced	0.00315386655505811	0.0335501563589254	0.0940045262775378
3	23	Balanced	0.263637797615721	0.0335501563589254	7.85801993872331
3	24	Balanced	0.00847451114134138	0.0335501563589254	0.252592299442052
3	25	Balanced	0.00492891498447961	0.0335501563589254	0.146911833487427
3	26	Balanced	0.0514301117271606	0.0335501563589254	1.53293210251995
3	27	Balanced	0.035260899523848	0.0335501563589254	1.05099061675364
3	28	Balanced	0.00536126976883586	0.0335501563589254	0.159798652247103
3	29	Balanced	0.00366710092140088	0.0335501563589254	0.109302051596112
3	30	Balanced	0.00349295315821483	0.0335501563589254	0.104111382398538
3	1	Unbalanced_OLS	0.0443467774597617	0.0335501563589254	1.32180538848559
3	2	Unbalanced_OLS	0.00637327237216226	0.0335501563589254	0.189962523690795
3	3	Unbalanced_OLS	0.0413231596052601	0.0335501563589254	1.23168307065927
3	4	Unbalanced_OLS	0.0319631788479491	0.0335501563589254	0.952698357229738
3	5	Unbalanced_OLS	0.0339985152562318	0.0335501563589254	1.01336383927722
3	6	Unbalanced_OLS	0.0348780498818461	0.0335501563589254	1.03957935422758
3	7	Unbalanced_OLS	0.0143896698808478	0.0335501563589254	0.428900233039291
3	8	Unbalanced_OLS	0.0120126205186197	0.0335501563589254	0.358049613542977
3	9	Unbalanced_OLS	0.0051152661413526	0.0335501563589254	0.152466238506569
3	10	Unbalanced_OLS	0.00318684344105596	0.0335501563589254	0.0949874393121318
3	11	Unbalanced_OLS	0.00562616190540156	0.0335501563589254	0.167694059163597
3	12	Unbalanced_OLS	0.0133849821922309	0.0335501563589254	0.398954390824173
3	13	Unbalanced_OLS	0.0110399193402856	0.0335501563589254	0.329057165104644
3	14	Unbalanced_OLS	0.00547027824493053	0.0335501563589254	0.163047772010614
3	15	Unbalanced_OLS	0.0270142376470701	0.0335501563589254	0.805189619925077
3	16	Unbalanced_OLS	0.0251956209417365	0.0335501563589254	0.750983711437565
3	17	Unbalanced_OLS	0.0888789830187816	0.0335501563589254	2.64913766922391
3	18	Unbalanced_OLS	0.131865746156261	0.0335501563589254	3.93040630706869
3	19	Unbalanced_OLS	0.0144106947975942	0.0335501563589254	0.429526904239315
3	20	Unbalanced_OLS	0.0116491661184673	0.0335501563589254	0.347216447930748
3	21	Unbalanced_OLS	0.0351491561619499	0.0335501563589254	1.04765998065458
3	22	Unbalanced_OLS	0.0240230723902255	0.0335501563589254	0.716034588131943
3	23	Unbalanced_OLS	0.0168449217828756	0.0335501563589254	0.502081766852758
3	24	Unbalanced_OLS	0.0947526791266382	0.0335501563589254	2.82420976262994
3	25	Unbalanced_OLS	0.0021615405622686	0.0335501563589254	0.0644271382566467
3	26	Unbalanced_OLS	0.00234681486974545	0.0335501563589254	0.0699494465730297
3	27	Unbalanced_OLS	0.0141187946133727	0.0335501563589254	0.420826492202521
3	28	Unbalanced_OLS	0.0579694019048684	0.0335501563589254	1.72784297291201
3	29	Unbalanced_OLS	0.089132355364134	0.0335501563589254	2.65668971585648
3	30	Unbalanced_OLS	0.0240260336770694	0.0335501563589254	0.716122852604164
3	1	Unbalanced_JS	0.0244600619295255	0.0335501563589254	0.729059550955515
3	2	Unbalanced_JS	0.00635336021253425	0.0335501563589254	0.189369019463423
3	3	Unbalanced_JS	0.0413768109522747	0.0335501563589254	1.23328220916822
3	4	Unbalanced_JS	0.0377527638182242	0.0335501563589254	1.12526342394171
3	5	Unbalanced_JS	0.0296173947145769	0.0335501563589254	0.882779632909155
3	6	Unbalanced_JS	0.0163400655100516	0.0335501563589254	0.487033959998359
3	7	Unbalanced_JS	0.00561085858487215	0.0335501563589254	0.167237926549319
3	8	Unbalanced_JS	0.00629821659441974	0.0335501563589254	0.187725402142402
3	9	Unbalanced_JS	0.0044488790420767	0.0335501563589254	0.132603824390021
3	10	Unbalanced_JS	0.00298464337142832	0.0335501563589254	0.0889606396911562
3	11	Unbalanced_JS	0.00614906318222463	0.0335501563589254	0.183279717579879
3	12	Unbalanced_JS	0.00181513367854721	0.0335501563589254	0.0541020929717464
