Statistic	df	sum_sq	mean_sq	F	pval
Total      	1	4.49092274657555	4.49092274657555	0.910369031340459	0.340570607193601
Method     	1	1.13260170650156	1.13260170650156	0.229593243221253	0.632077372070954
Iteration  	1	2.6604331767242	2.6604331767242	0.53930475109759	0.463134730566509
Residuals  	416	2052.16104487275	4.93307943479026		
