Statistic	Value	pval	qval
TPR	0.030354838205541	0.000192480705728893	0.000451528670412287
TNR	-0.00575908608351453	0.148108697610896	0.148108697610896
PPV	-0.0078619449606338	0.0953925069121369	0.114471008294564
NPV	0.00753139140269705	0.000301019113608192	0.000451528670412287
ACC	0.016912601960141	0.000143852644329807	0.000451528670412287
MCC	0.0232626079808969	0.00026665173474846	0.000451528670412287
