Total	Balanced	Iteration	FN	FP	TN	TP	TPR	TNR	PPV	NPV	FNR	FDR	FOR	ACC	F1	MCC
4	balanced	1	3313	1	2145	327	0.0898351648351648	0.999534016775396	0.996951219512195	0.393001099303774	0.910164835164835	0.00304878048780488	0.606998900696226	0.427238161078465	0.164818548387097	0.186680796012133
4	balanced	2	2824	78	2079	827	0.226513284031772	0.963838664812239	0.913812154696133	0.424026106465429	0.773486715968228	0.0861878453038674	0.575973893534571	0.50034435261708	0.363037752414399	0.253590558590369
4	balanced	3	3068	26	2126	578	0.158529895776193	0.987918215613383	0.956953642384106	0.409318444358876	0.841470104223807	0.043046357615894	0.590681555641124	0.466367713004484	0.272	0.231602796525061
4	balanced	4	3163	11	2150	483	0.132473944048272	0.994909763998149	0.977732793522267	0.404667795972144	0.867526055951728	0.0222672064777328	0.595332204027856	0.453418288272774	0.233333333333333	0.220707057089109
4	balanced	5	3382	1	2162	268	0.0734246575342466	0.99953767914933	0.996282527881041	0.38997113997114	0.926575342465753	0.00371747211895911	0.61002886002886	0.418028556683296	0.136769584077571	0.167874864584002
4	balanced	6	2870	19	2138	780	0.213698630136986	0.991191469633751	0.97622027534418	0.426916932907348	0.786301369863014	0.0237797246558198	0.573083067092652	0.502496986395729	0.350640593391773	0.287400109290084
4	balanced	7	3554	0	2158	92	0.0252331321996709	1	1	0.377801120448179	0.974766867800329	0	0.622198879551821	0.387663680220538	0.0492241840556447	0.0976376239850842
4	balanced	8	2989	45	2109	657	0.18019747668678	0.979108635097493	0.935897435897436	0.413691643781875	0.81980252331322	0.0641025641025641	0.586308356218125	0.476896551724138	0.302207911683533	0.235990840936578
4	balanced	9	3380	3	2148	265	0.0727023319615912	0.99860529986053	0.988805970149254	0.388567293777135	0.927297668038409	0.0111940298507463	0.611432706222865	0.41632160110421	0.135445949399438	0.164041439165764
4	balanced	10	3480	0	2154	162	0.0444810543657331	1	1	0.382321618743344	0.955518945634267	0	0.617678381256656	0.399585921325052	0.0851735015772871	0.130407318462262
4	unbalanced	1	3179	9	2151	460	0.126408353943391	0.995833333333333	0.980810234541578	0.403564727954972	0.873591646056609	0.0191897654584222	0.596435272045028	0.450250043110881	0.223953261927946	0.216764028294609
4	unbalanced	2	3466	0	2157	168	0.0462300495321959	1	1	0.383603058865374	0.953769950467804	0	0.616396941134626	0.401485063028838	0.088374539715939	0.133169021968505
4	unbalanced	3	3596	0	2153	40	0.011001100110011	1	1	0.374499913028353	0.988998899889989	0	0.625500086971647	0.378821903610295	0.0217627856365615	0.064186533123509
4	unbalanced	4	2884	52	2106	754	0.207256734469489	0.975903614457831	0.935483870967742	0.422044088176353	0.792743265530511	0.0645161290322581	0.577955911823647	0.49344375431332	0.339333933393339	0.255900265236488
4	unbalanced	5	3574	0	2157	61	0.0167812929848693	1	1	0.376374105740708	0.983218707015131	0	0.623625894259292	0.382941988950276	0.033008658008658	0.0794735436504062
4	unbalanced	6	3138	3	2157	501	0.137675185490519	0.998611111111111	0.994047619047619	0.407365439093485	0.862324814509481	0.00595238095238095	0.592634560906516	0.458354888773927	0.241853729181752	0.233895487561402
4	unbalanced	7	3093	28	2130	551	0.151207464324918	0.987025023169602	0.951640759930915	0.407811602527283	0.848792535675082	0.0483592400690846	0.592188397472717	0.462082040675629	0.260951929907649	0.222908039779588
4	unbalanced	8	3481	1	2159	157	0.043155579989005	0.999537037037037	0.993670886075949	0.382801418439716	0.956844420010995	0.00632911392405063	0.617198581560284	0.39944808554674	0.0827186512118019	0.126777710649778
4	unbalanced	9	3585	0	2147	50	0.0137551581843191	1	1	0.374563852058618	0.986244841815681	0	0.625436147941382	0.379972327914217	0.0271370420624152	0.071778722719161
4	unbalanced	10	2247	97	2063	1392	0.382522671063479	0.955092592592593	0.934855607790463	0.478654292343388	0.617477328936521	0.0651443922095366	0.521345707656613	0.595792377996206	0.542901716068643	0.373640541106136
6	balanced	1	2920	4	2157	730	0.2	0.998149005090236	0.994550408719346	0.424857199133346	0.8	0.00544959128065395	0.575142800866654	0.496816382722423	0.333029197080292	0.288279725654245
6	balanced	2	3300	0	2161	351	0.0961380443714051	1	1	0.395715070499908	0.903861955628595	0	0.604284929500092	0.432209222298692	0.175412293853073	0.195046848234351
6	balanced	3	3209	1	2160	439	0.120339912280702	0.999537251272559	0.997727272727273	0.402309554851928	0.879660087719298	0.00227272727272727	0.597690445148072	0.447409192632123	0.214774951076321	0.218986940722591
6	balanced	4	2848	7	2157	800	0.219298245614035	0.996765249537893	0.991325898389096	0.430969030969031	0.780701754385965	0.00867410161090459	0.569030969030969	0.508774948382657	0.359147025813692	0.302063765490092
6	balanced	5	2668	0	2148	978	0.268239166209545	1	1	0.446013289036545	0.731760833790455	0	0.553986710963455	0.539523645150155	0.423010380622837	0.345887601352722
6	balanced	6	3453	1	2153	195	0.0534539473684211	0.999535747446611	0.994897959183674	0.384052800570817	0.946546052631579	0.00510204081632653	0.615947199429183	0.404688038607377	0.101456815816857	0.141705628361456
6	balanced	7	3386	0	2160	262	0.0718201754385965	1	1	0.389469888207717	0.928179824561403	0	0.610530111792283	0.417011019283747	0.134015345268542	0.167247707605004
6	balanced	8	2158	233	1918	1486	0.407793633369923	0.891678289167829	0.864456079115765	0.470559371933268	0.592206366630077	0.135543920884235	0.529440628066732	0.587402933563417	0.554167443595003	0.316745514894065
6	balanced	9	1610	251	1901	2038	0.558662280701754	0.883364312267658	0.890345128877239	0.541441184847622	0.441337719298246	0.109654871122761	0.458558815152378	0.679137931034483	0.686542024591545	0.436876450666115
