target_id	Test_Condition	MSE	SE_SD
Q0050_mRNA	Balanced	0.356265040539021	0.562924513737524
Q0050_mRNA	Unbalanced OLS	1.08094235867208	1.52675874804485
Q0050_mRNA	Unbalanced JS	1.06280414281145	1.50480886062274
YAL001C_mRNA	Balanced	0.00555510890443061	0.00877487958586385
YAL001C_mRNA	Unbalanced OLS	0.0187290348813144	0.0317218281565367
YAL001C_mRNA	Unbalanced JS	0.0184787947527518	0.0314876204249856
YAL002W_mRNA	Balanced	0.00552600895018578	0.00993734646560014
YAL002W_mRNA	Unbalanced OLS	0.0181934893309681	0.0290026033008697
YAL002W_mRNA	Unbalanced JS	0.0179499628361624	0.0286787555861206
YAL003W_mRNA	Balanced	0.0163007394422795	0.0299600204935766
YAL003W_mRNA	Unbalanced OLS	0.0568314344941846	0.136065934473501
YAL003W_mRNA	Unbalanced JS	0.0562791789363698	0.134282426359876
YAL005C_mRNA	Balanced	0.0426368923150563	0.0840241954337311
YAL005C_mRNA	Unbalanced OLS	0.146457749553032	0.356304532893016
YAL005C_mRNA	Unbalanced JS	0.144956186750838	0.352540823128479
YAL007C_mRNA	Balanced	0.00871898927376935	0.0180508923038207
YAL007C_mRNA	Unbalanced OLS	0.0288349676238664	0.106524238467724
YAL007C_mRNA	Unbalanced JS	0.0283933612821747	0.1057586008333
YAL008W_mRNA	Balanced	0.0219756539612211	0.0421013837161918
YAL008W_mRNA	Unbalanced OLS	0.0650374587525327	0.167358076620505
YAL008W_mRNA	Unbalanced JS	0.0642596310007943	0.166043385669041
YAL009W_mRNA	Balanced	0.00698882024372661	0.0132911261210554
YAL009W_mRNA	Unbalanced OLS	0.0213828385858483	0.0427676731420852
YAL009W_mRNA	Unbalanced JS	0.0211100319487338	0.0424554798543074
YAL010C_mRNA	Balanced	0.00711538869254589	0.0125107140046708
YAL010C_mRNA	Unbalanced OLS	0.0206952190196175	0.0391165298710277
YAL010C_mRNA	Unbalanced JS	0.0204322637338477	0.0387270885408246
YAL011W_mRNA	Balanced	0.00359735864131196	0.00643187765285816
YAL011W_mRNA	Unbalanced OLS	0.0112387470251376	0.0139134189105733
YAL011W_mRNA	Unbalanced JS	0.011072844800033	0.0135852656929381
YAL012W_mRNA	Balanced	0.0114338278639681	0.019397121974905
YAL012W_mRNA	Unbalanced OLS	0.0357742276173272	0.0586100432814019
YAL012W_mRNA	Unbalanced JS	0.0352535699871645	0.0578759884096591
YAL013W_mRNA	Balanced	0.00885962298183434	0.0147853502243721
YAL013W_mRNA	Unbalanced OLS	0.0326599862938854	0.0713869503268213
YAL013W_mRNA	Unbalanced JS	0.0322756469896797	0.0705024865162278
YAL014C_mRNA	Balanced	0.0116414139492436	0.0185487046334907
YAL014C_mRNA	Unbalanced OLS	0.0376344532051189	0.0686569464252068
YAL014C_mRNA	Unbalanced JS	0.0372149047270839	0.0679733636972704
YAL015C_mRNA	Balanced	0.00453048409780515	0.00770743434956402
YAL015C_mRNA	Unbalanced OLS	0.014562763136118	0.0203464032919764
YAL015C_mRNA	Unbalanced JS	0.0144095565863688	0.0201400439401009
YAL016W_mRNA	Balanced	0.00945566985938687	0.025384220664457
YAL016W_mRNA	Unbalanced OLS	0.0294919571910714	0.1193449400502
YAL016W_mRNA	Unbalanced JS	0.0291171381754259	0.118390507021411
YAL017W_mRNA	Balanced	0.00531001351916873	0.00833457856272845
YAL017W_mRNA	Unbalanced OLS	0.0188511994965366	0.0223284059723689
YAL017W_mRNA	Unbalanced JS	0.018615782621908	0.022149651087239
YAL019W-A_mRNA	Balanced	0.0350670395316685	0.0580536804400743
YAL019W-A_mRNA	Unbalanced OLS	0.130713029603864	0.209302209599544
YAL019W-A_mRNA	Unbalanced JS	0.128878802891495	0.206668910757234
YAL019W_mRNA	Balanced	0.0145293991367996	0.0221768731822671
YAL019W_mRNA	Unbalanced OLS	0.0421171915868714	0.0447183507103728
YAL019W_mRNA	Unbalanced JS	0.041727833120306	0.0443910985495276
YAL020C_mRNA	Balanced	0.032799187706611	0.0532562798104006
YAL020C_mRNA	Unbalanced OLS	0.119676868187495	0.229436978033674
YAL020C_mRNA	Unbalanced JS	0.118161220337394	0.227317014399966
YAL021C_mRNA	Balanced	0.0144489301653473	0.0264735219509107
YAL021C_mRNA	Unbalanced OLS	0.0379813125170011	0.107974065244411
YAL021C_mRNA	Unbalanced JS	0.0374538277529646	0.106913589005902
YAL022C_mRNA	Balanced	0.0133999891741524	0.0197198706255818
YAL022C_mRNA	Unbalanced OLS	0.0429509303099932	0.066724543460444
YAL022C_mRNA	Unbalanced JS	0.042399985826934	0.0659733682820567
YAL023C_mRNA	Balanced	0.00427415134773918	0.00785535277931294
YAL023C_mRNA	Unbalanced OLS	0.0125556374749309	0.025467249935771
YAL023C_mRNA	Unbalanced JS	0.0123886611985632	0.0252168600095455
YAL024C_mRNA	Balanced	0.00771137017076864	0.0117629553939437
YAL024C_mRNA	Unbalanced OLS	0.0231204841631834	0.0410371083489773
YAL024C_mRNA	Unbalanced JS	0.022835725609464	0.0405250613411792
YAL025C_mRNA	Balanced	0.0378357838447577	0.0639890901428412
YAL025C_mRNA	Unbalanced OLS	0.109100118413585	0.165754573919591
YAL025C_mRNA	Unbalanced JS	0.108136793391425	0.165093753300561
YAL026C-A_mRNA	Balanced	0.0307476168765966	0.0538611962818776
YAL026C-A_mRNA	Unbalanced OLS	0.0913225524772543	0.139255919815622
YAL026C-A_mRNA	Unbalanced JS	0.0903467398795113	0.138006209488031
YAL026C_mRNA	Balanced	0.00355609562337343	0.00730927441083311
