target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
YDL169C_mRNA	0.0173724902554662	0.204789270723334	0.893381893208029	0.375571270871068	5.18878701370827	0.408703897538037	0.00632373118197715	0.205256938073586	0.0611969780917005	0.205256938073586
YDL200C_mRNA	0.532612179488325	0.795735799281263	-0.170647062593987	0.273462576406454	4.39348251125652	0.0984742628254133	0.0132793956751236	0.09889327536716	0.0941205873927288	0.09889327536716
YFR026C_mRNA	0.0666266484711712	0.404987207305357	0.754387005195965	0.411292924875872	3.50441530344498	0.3737241701461	0.0410496818253841	0.21269312325404	0.1494084262714	0.21269312325404
YFR038W_mRNA	0.0164029922944875	0.197298751967895	0.485990644134782	0.202511020146038	6.02401017853135	0.120068927792668	0.00254116793085923	0.0589749019900242	0.0496911049186498	0.0589749019900242
YGL097W_mRNA	0.401063156602376	0.722173269687904	-0.259946480823074	0.309561810935124	6.88637601857506	0.13526586961501	0.00110682436057543	0.142635947823575	0.0634487172251327	0.142635947823575
YGR101W_mRNA	0.648494116766896	0.843436480993691	-0.087733069606666	0.1924582022031	5.62003237860917	0.0109029469588047	0.00336741424854329	0.00737486013648439	0.0521928251443309	0.0521928251443309
YJR053W_mRNA	0.393469376400165	0.717086017127585	0.303514955835934	0.355677751791895	3.45580277160946	0.0782553546052692	0.0367196770435334	0.0265540180570201	0.153040317636072	0.153040317636072
YMR049C_mRNA	0.0189900907331607	0.213468827951401	-0.595811571033431	0.253998853475584	6.12966334272927	0.183915929533492	0.00249403714438737	0.0942790892059793	0.050549755290016	0.0942790892059793
YMR146C_mRNA	0.542839552503639	0.798825514448624	-0.17615960062694	0.289486377192863	8.27802968246229	0.0853794681356185	0.000304337059376901	0.094782921275256	0.125399206810996	0.125399206810996
YPL088W_mRNA	0.00972219274285768	0.148311852160871	-0.488294665028903	0.188854762400614	6.1765497993412	0.0901437454949508	0.00241366813526115	0.0208541337725441	0.0510855137868272	0.0510855137868272
