sample	condition	path
SA-PE-007	wt	../../data/Gierlinski_2015/Aligned/SA-PE-007
SA-PE-087	wt	../../data/Gierlinski_2015/Aligned/SA-PE-087
SA-PE-005	wt	../../data/Gierlinski_2015/Aligned/SA-PE-005
SA-PE-018	wt	../../data/Gierlinski_2015/Aligned/SA-PE-018
SA-PE-013	wt	../../data/Gierlinski_2015/Aligned/SA-PE-013
SA-PE-010	wt	../../data/Gierlinski_2015/Aligned/SA-PE-010
SA-PE-049	wt	../../data/Gierlinski_2015/Aligned/SA-PE-049
SA-PE-022	wt	../../data/Gierlinski_2015/Aligned/SA-PE-022
SA-PE-044	wt	../../data/Gierlinski_2015/Aligned/SA-PE-044
SA-PE-094	wt	../../data/Gierlinski_2015/Aligned/SA-PE-094
SA-PE-017	wt	../../data/Gierlinski_2015/Aligned/SA-PE-017
SA-PE-085	wt	../../data/Gierlinski_2015/Aligned/SA-PE-085
