Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
SA-PE-001_1	0.013221328259782977	0.0009136690260825635	0.0008599237892541773	0.0015048666311948103	0.0	0.00016123571048515825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05073550356599646	0.0	0.0008061785524257913	0.0	0.0	0.00042996189462708864	0.10233093092124709	0.0008061785524257913	0.0	0.0	0.0	0.0	0.00021498094731354432	0.0003224714209703165	0.00010749047365677216	0.00016123571048515825	0.0	0.0	5.374523682838608e-05	0.0	0.0	0.0	0.0003224714209703165	0.0	0.00010749047365677216	0.0004837071314554748	0.0	5.374523682838608e-05	0.0009674142629109496	0.00016123571048515825	0.0008061785524257913	0.0016661023416799686	0.0	5.374523682838608e-05	0.0010749047365677218
SA-PE-001_2	0.01511916602680196	0.000971946387437269	0.0004859731937186345	0.0007559583013400981	0.00010799404304858544	0.0	0.0	0.0002159880860971709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06069265219330502	0.0	0.0005939672367672199	0.00016199106457287816	0.0	0.0002159880860971709	0.07516385396181546	0.0	0.0	0.00010799404304858544	0.001889895753350245	0.002645854054690343	0.0019978897963988307	0.0	0.0031858242699332705	0.0016739076672530745	0.004265764700419125	0.0007559583013400981	0.003077830226884685	0.0037257944851761975	0.0028078451192632215	0.002645854054690343	0.0011339374520101472	0.002861842140787514	0.0002159880860971709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.399702152429272e-05
SA-PE-001_3	0.6781423057056568	0.00043634991117552115	0.009981504218140048	0.0004908936500724613	0.0	0.0	0.00027271869448470073	0.00021817495558776057	0.00016363121669082047	0.0	0.0	5.4543738896940144e-05	0.0	0.0	0.0	0.0	0.06174351243133625	0.0	0.00021817495558776057	0.0	0.0	0.00021817495558776057	0.02236293294774546	0.0031635368560225287	0.0009817873001449226	0.0007636123445571622	5.4543738896940144e-05	5.4543738896940144e-05	0.00043634991117552115	5.4543738896940144e-05	0.00010908747779388029	0.007145229795499159	0.0009272435612479826	0.00010908747779388029	0.0013635934724235037	0.0020181183391867856	0.0	0.00016363121669082047	0.0006545248667632819	0.0	0.001145418516835743	0.003490799289404169	5.4543738896940144e-05	0.0	5.4543738896940144e-05	0.0	0.00021817495558776057	0.0	0.0	0.0	0.0008726998223510423
SA-PE-001_4	0.01218812430197345	0.0009050587352950583	0.0016291057235311049	0.0010860704823540698	0.0	5.284396606391766	0.0001206744980393411	0.0002413489960786822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04971789319220853	0.0	0.012791496792170155	0.0	0.0	0.0	0.0	0.0	0.002413489960786822	0.0042839446803966084	0.0007843842372557172	0.005611364158829361	0.004223607431376938	0.0	0.007662830625498159	0.007180132633340795	0.003740909439219574	0.001327419478432752	0.005249340664711338	0.010136657835304652	0.0005430352411770349	0.007119795384321124	0.001991129217649128	0.0	0.0015084312254917637	0.001991129217649128	0.002111803715688469	0.0	0.0	0.0	0.00018101174705901162	0.0020514664666687983	0.0	0.0	0.0
SA-PE-001_5	0.013758619879062422	0.005669381055694064	0.00027655517344849086	0.00020741638008636818	0.0	0.00013827758672424543	0.00013827758672424543	0.00020741638008636818	0.0	0.0	0.0	0.0004839715535348591	0.0	0.0	0.0	0.0	0.04044619411684179	0.0	6.913879336212272e-05	0.0	0.014380869019321526	0.0	6.913879336212272e-05	0.0	0.0016593310406909454	0.0045631603619001	0.0	0.00041483276017273635	0.00013827758672424543	0.0	0.010301680210956288	0.0059459362291425545	0.0019358862141394364	0.0008988043137075954	0.0013136370738803319	0.005461964675607695	0.0	0.0	0.0	6.913879336212272e-05	0.001244498280518209	0.0010370819004318409	0.0004839715535348591	0.0011753594871560865	0.0	0.0	0.0	0.003733494841554627	0.0	0.0	0.0029729681145712773
SA-PE-001_6	0.009184618368825486	0.00164500627501352	0.00013708385625112664	0.00013708385625112664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013708385625112664	0.0	0.0005483354250045066	0.0	0.030432616087750122	0.0	0.0	0.0005483354250045066	0.0030843867656503497	0.00034270964062781665	0.0	0.0	0.0035641802625292927	0.0030843867656503497	0.0035641802625292927	0.0025360513406458432	0.001713548203139083	0.0030843867656503497	0.0143938049063683	0.004318141471910489	0.00034270964062781665	0.0019877159156413368	0.002741677125022533	0.004043973759408237	0.011789211637596893	0.0	0.0	0.0	0.0	0.0013022966343857031	0.0	0.00034270964062781665	0.00061687735313007	0.0	0.00013708385625112664	0.0	0.0	0.0	6.854192812556332e-05
SA-PE-001_7	0.010065273568214836	0.0028527245941999267	0.0	0.0008073748851509226	0.0	0.001991524716705609	0.0	0.0	0.0	0.0	0.0	5.382499234339483e-05	0.0	0.0	0.0	0.0	0.030034345727614323	0.0	0.0	0.0	0.0	0.0	0.0	0.0008611998774943173	0.0016685747626452399	0.003121849555916901	0.0055977992037130634	0.004144524410441402	0.003983049433411218	0.006674299050580959	0.010926473445709153	0.008504348790256385	0.0	0.0	0.0001614749770301845	0.0001614749770301845	0.001345624808584871	0.0	5.382499234339483e-05	0.00021529996937357933	0.0	0.0	0.0	0.0	0.0	0.0009688498621811071	0.0008611998774943173	0.0005382499234339484	0.0	0.0	0.0002691249617169742
SA-PE-002_1	0.013550565231556096	0.0007207747463593668	0.0006486972717234302	0.0012253170688109236	0.0	0.00014415494927187336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050310077295883805	0.0	0.0003603873731796834	0.0	7.207747463593668e-05	0.0005766197970874935	0.10098054196494728	0.0005766197970874935	0.0	0.0	0.0	0.0	0.0002883098985437467	0.0005045423224515567	7.207747463593668e-05	0.00014415494927187336	0.0	0.0	0.0	0.0	0.0	0.0	0.0003603873731796834	7.207747463593668e-05	0.00021623242390781002	0.0007207747463593668	0.0	0.0	0.0009370071702671768	0.0	0.0006486972717234302	0.0009370071702671768	0.0	0.0	0.0007207747463593668
SA-PE-002_2	0.01350709558230832	0.0008714255214392465	0.00043571276071962324	0.0007988067279859759	0.00014523758690654107	7.261879345327054e-05	0.0	0.00043571276071962324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05932955425132203	0.0	0.00021785638035981162	0.0	0.0	0.00014523758690654107	0.07624973312593405	0.0	0.0	0.00021785638035981162	0.0010166631083457875	0.002033326216691575	0.0015249946625186812	0.0	0.004502365194102773	0.0025416577708644687	0.00406665243338315	0.00021785638035981162	0.002323801390504657	0.0026868953577710098	0.002178563803598116	0.002469038977411198	0.0018154698363317635	0.003267845705397174	0.00036309396726635267	7.261879345327054e-05	0.0	0.0	0.0	0.0	0.0	7.261879345327054e-05	0.0	0.0	0.0
SA-PE-002_3	0.6854626781192227	0.0005880644959735959	0.011467257671485119	0.0005145564339768964	0.0	0.0	0.00022052418599009848	0.00029403224798679793	0.00014701612399339897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06306991719316817	0.0	0.00044104837198019695	0.0	0.0	0.00022052418599009848	0.02322854759095704	0.0027933063558745804	0.0012496370539438913	0.0006615725579702954	0.00029403224798679793	0.00014701612399339897	0.0007350806199669949	0.00014701612399339897	0.0005880644959735959	0.006468709455709555	0.0008820967439603939	0.0005145564339768964	0.0011026209299504924	0.0018377015499174872	0.00044104837198019695	0.00044104837198019695	0.0006615725579702954	0.0	0.001690685425924088	0.0035283869758415756	0.0	0.0	0.0	0.0	0.00022052418599009848	0.0	0.0	0.0	0.0008820967439603939
