SA-PE-002_3	24.0	21.5	19.0	21.0	23.0	31.0	39.0	59.0	79.0	171.0	263.0	388.5	514.0	729.5	945.0	1306.0	1667.0	2088.0	2509.0	3167.0	3825.0	4716.5	5608.0	6810.0	8012.0	10224.5	15603.0	18769.0	23228.5	27688.0	33619.5	39551.0	47687.5	55824.0	65769.0	75714.0	87064.5	98415.0	109666.5	120918.0	130901.0	140884.0	145936.5	150989.0	148269.0	145549.0	137184.0	128819.0	116444.5	104070.0	90999.0	77928.0	65580.5	53233.0	43596.5	33960.0	27781.0	21602.0	17673.0	13744.0	10719.5	7695.0	5943.0	4191.0	3378.5	2566.0	1929.5	1293.0	950.0	607.0	427.5	248.0	184.0	120.0	78.5	23.5	10.0	6.5	3.0	3.0	3.0	2.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PE-002_4	21.0	19.5	18.0	22.5	27.0	34.5	42.0	58.5	75.0	164.5	254.0	366.0	478.0	700.0	922.0	1219.5	1517.0	1856.5	2196.0	2868.5	3541.0	4359.0	5177.0	6376.0	7575.0	9490.5	14404.0	17402.0	21367.5	25333.0	30742.5	36152.0	43708.0	51264.0	60633.5	70003.0	80379.5	90756.0	100689.5	110623.0	119603.5	128584.0	133199.0	137814.0	135216.5	132619.0	125240.0	117861.0	106756.5	95652.0	83534.5	71417.0	60030.0	48643.0	39698.5	30754.0	25376.5	19999.0	16195.5	12392.0	9685.5	6979.0	5432.5	3886.0	3140.0	2394.0	1765.5	1137.0	845.5	554.0	393.5	233.0	157.0	81.0	59.0	25.5	14.0	9.0	4.0	2.5	1.0	1.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PE-002_5	8.0	14.5	21.0	17.5	14.0	22.5	31.0	49.0	67.0	141.5	216.0	339.5	463.0	590.0	717.0	1025.0	1333.0	1642.5	1952.0	2516.5	3081.0	3732.0	4383.0	5464.5	6546.0	8136.0	12301.0	14876.0	18350.5	21825.0	26554.0	31283.0	37637.0	43991.0	51717.0	59443.0	68608.0	77773.0	86628.5	95484.0	103400.0	111316.0	115347.0	119378.0	117559.0	115740.0	108809.5	101879.0	92732.0	83585.0	72874.5	62164.0	52251.5	42339.0	34834.5	27330.0	22389.0	17448.0	14257.0	11066.0	8663.5	6261.0	4817.0	3373.0	2724.0	2075.0	1528.0	981.0	727.0	473.0	335.0	197.0	149.0	101.0	63.5	19.0	12.0	6.5	1.0	0.5	0.0	0.5	1.0	1.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PE-002_6	18.0	17.0	16.0	17.5	19.0	19.0	19.0	47.0	75.0	137.5	200.0	313.0	426.0	595.0	764.0	1016.0	1268.0	1586.0	1904.0	2469.0	3034.0	3782.0	4530.0	5466.5	6403.0	7995.5	12322.0	15056.0	18413.5	21771.0	26477.0	31183.0	37437.5	43692.0	51819.5	59947.0	68920.0	77893.0	86509.5	95126.0	103088.0	111050.0	114738.0	118426.0	116466.5	114507.0	107939.5	101372.0	91800.5	82229.0	71858.5	61488.0	51681.5	41875.0	34237.5	26600.0	22126.0	17652.0	14267.5	10883.0	8444.0	6005.0	4678.5	3352.0	2679.5	2007.0	1499.0	991.0	736.5	482.0	342.0	202.0	145.5	89.0	55.5	16.0	10.0	8.0	6.0	4.0	2.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PE-002_7	23.0	21.5	20.0	24.0	28.0	30.0	32.0	63.5	95.0	191.0	287.0	418.5	550.0	787.5	1025.0	1358.0	1691.0	2126.0	2561.0	3238.0	3915.0	4824.5	5734.0	7149.0	8564.0	10625.0	15932.5	19179.0	23690.5	28202.0	34456.0	40710.0	48916.5	57123.0	67618.0	78113.0	89502.5	100892.0	112547.0	124202.0	134338.0	144474.0	149518.5	154563.0	151720.0	148877.0	140799.5	132722.0	119891.0	107060.0	93844.5	80629.0	67731.5	54834.0	45067.0	35300.0	29040.5	22781.0	18526.5	14272.0	11097.0	7922.0	6208.0	4494.0	3568.0	2642.0	2008.5	1375.0	1015.5	656.0	463.0	270.0	198.5	127.0	79.0	21.5	12.0	7.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PE-003_1	7.0	6.5	6.0	5.5	5.0	4.5	4.0	13.0	22.0	41.0	60.0	129.0	198.0	279.5	361.0	500.5	640.0	880.0	1120.0	1547.5	1975.0	2610.5	3246.0	4125.5	5005.0	6980.5	11473.5	13991.0	18190.5	22390.0	28610.5	34831.0	43773.5	52716.0	64068.5	75421.0	88507.0	101593.0	115847.5	130102.0	143566.0	157030.0	164673.5	172317.0	170724.0	169131.0	160426.5	151722.0	137465.0	123208.0	107641.5	92075.0	76267.0	60459.0	49284.5	38110.0	31352.0	24594.0	19759.0	14924.0	11499.5	8075.0	6292.5	4510.0	3651.5	2793.0	2023.0	1253.0	954.0	655.0	465.0	275.0	193.0	111.0	71.0	20.5	10.0	5.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PE-003_2	2.0	2.5	3.0	5.0	7.0	5.0	3.0	9.0	15.0	39.5	64.0	136.0	208.0	293.5	379.0	540.0	701.0	899.0	1097.0	1579.5	2062.0	2582.5	3103.0	4049.5	4996.0	6846.0	11423.5	14151.0	18135.5	22120.0	28612.0	35104.0	43744.5	52385.0	63619.0	74853.0	88185.0	101517.0	115391.5	129266.0	142889.5	156513.0	163812.0	171111.0	169573.0	168035.0	159421.0	150807.0	136531.0	122255.0	106953.0	91651.0	76148.0	60645.0	49275.0	37905.0	31210.0	24515.0	19610.0	14705.0	11342.5	7980.0	6158.0	4336.0	3582.5	2829.0	2045.5	1262.0	945.5	629.0	458.0	287.0	204.0	121.0	78.0	23.5	12.0	6.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PE-003_3	6.0	6.0	6.0	6.0	6.0	7.5	9.0	7.0	5.0	32.0	59.0	125.0	191.0	278.5	366.0	519.0	672.0	891.0	1110.0	1613.5	2117.0	2682.5	3248.0	4136.0	5024.0	6871.0	11246.0	13774.0	18092.5	22411.0	28655.0	34899.0	43707.0	52515.0	63791.0	75067.0	88062.0	101057.0	115008.0	128959.0	142371.5	155784.0	163436.5	171089.0	169392.5	167696.0	159080.5	150465.0	136103.5	121742.0	106326.0	90910.0	75560.5	60211.0	48920.5	37630.0	31009.5	24389.0	19453.0	14517.0	11260.5	8004.0	6209.0	4414.0	3590.5	2767.0	1984.5	1202.0	904.5	607.0	417.5	228.0	180.5	133.0	80.5	18.5	9.0	5.0	1.0	0.5	0.0	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PE-003_4	2.0	3.0	4.0	4.0	4.0	5.0	6.0	12.5	19.0	41.5	64.0	124.5	185.0	261.0	337.0	515.0	693.0	830.5	968.0	1423.5	1879.0	2423.0	2967.0	3770.5	4574.0	6231.5	10417.0	12945.0	16832.0	20719.0	26314.5	31910.0	40051.0	48192.0	58626.5	69061.0	80778.0	92495.0	105478.5	118462.0	130934.5	143407.0	150046.5	156686.0	155735.0	154784.0	146108.5	137433.0	124273.5	111114.0	97195.5	83277.0	69089.5	54902.0	44665.5	34429.0	28280.5	22132.0	17667.0	13202.0	10155.5	7109.0	5565.0	4021.0	3262.0	2503.0	1796.0	1089.0	824.5	560.0	390.5	221.0	169.5	118.0	74.5	20.5	10.0	7.5	5.0	3.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PE-003_5	1.0	2.5	4.0	5.0	6.0	5.0	4.0	8.0	12.0	33.5	55.0	111.5	168.0	233.5	299.0	419.0	539.0	692.5	846.0	1253.0	1660.0	2070.0	2480.0	3170.5	3861.0	5258.5	8824.5	10993.0	14360.5	17728.0	22601.5	27475.0	34260.5	41046.0	50183.0	59320.0	69237.5	79155.0	90269.5	101384.0	112272.0	123160.0	129226.5	135293.0	133962.5	132632.0	126115.0	119598.0	108098.0	96598.0	84411.5	72225.0	60056.0	47887.0	39079.5	30272.0	24761.0	19250.0	15419.0	11588.0	8983.0	6378.0	4989.5	3601.0	2870.5	2140.0	1546.5	953.0	740.0	527.0	364.5	202.0	149.0	96.0	59.5	17.5	12.0	7.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
