SA-PE-003_1	5.0	0.0	1.0	2.0	2.0	4.0	1.0	13.0	24.0	44.0	80.0	156.0	248.0	329.0	473.0	599.0	753.0	978.0	1286.0	1704.0	2432.0	3358.0	4888.0	7102.0	10258.0	14803.0	21210.0	28456.0	38571.0	49904.0	62980.0	77742.0	96863.0	121706.0	158802.0	208064.0	270591.0	289300.0	201.0
SA-PE-003_2	13.0	4.0	3.0	1.0	2.0	5.0	8.0	15.0	30.0	38.0	79.0	146.0	226.0	335.0	419.0	574.0	693.0	925.0	1276.0	1704.0	2290.0	3350.0	4797.0	7237.0	10525.0	14983.0	20979.0	28670.0	38300.0	49475.0	62173.0	77035.0	95959.0	121532.0	156537.0	204433.0	263790.0	297504.0	301.0
SA-PE-003_3	6.0	2.0	2.0	2.0	3.0	1.0	6.0	17.0	26.0	38.0	70.0	127.0	225.0	334.0	430.0	543.0	731.0	942.0	1242.0	1739.0	2378.0	3399.0	4991.0	7216.0	10398.0	15146.0	21317.0	29145.0	39068.0	50353.0	63126.0	78755.0	97704.0	122963.0	158883.0	205385.0	263736.0	281394.0	203.0
SA-PE-003_4	4.0	0.0	0.0	0.0	4.0	1.0	5.0	21.0	22.0	33.0	69.0	153.0	210.0	272.0	375.0	486.0	654.0	839.0	1067.0	1560.0	2117.0	3052.0	4312.0	6498.0	9654.0	13705.0	19033.0	26560.0	35183.0	45876.0	58101.0	72845.0	91119.0	117424.0	154095.0	201087.0	247998.0	225816.0	159.0
SA-PE-003_5	5.0	3.0	0.0	2.0	0.0	2.0	2.0	13.0	21.0	50.0	78.0	135.0	216.0	243.0	364.0	463.0	602.0	760.0	1012.0	1387.0	2001.0	2806.0	4094.0	5888.0	8562.0	12186.0	17031.0	23159.0	31147.0	40002.0	50875.0	62877.0	78347.0	98674.0	127043.0	164243.0	206586.0	215062.0	188.0
SA-PE-003_6	6.0	2.0	0.0	3.0	4.0	1.0	5.0	12.0	23.0	51.0	67.0	144.0	196.0	254.0	352.0	466.0	589.0	799.0	961.0	1394.0	1955.0	2863.0	3956.0	5938.0	8633.0	12474.0	17535.0	23642.0	31263.0	40581.0	51196.0	63687.0	79481.0	99437.0	128189.0	165954.0	208359.0	208953.0	129.0
SA-PE-003_7	11.0	3.0	1.0	1.0	0.0	5.0	6.0	14.0	23.0	55.0	86.0	167.0	218.0	363.0	480.0	647.0	729.0	1003.0	1342.0	1732.0	2453.0	3504.0	5122.0	7415.0	10821.0	15461.0	21278.0	29253.0	38535.0	49947.0	62756.0	78088.0	97486.0	121975.0	156991.0	206886.0	268035.0	301194.0	199.0
SA-PE-004_1	10.0	1.0	0.0	3.0	3.0	7.0	5.0	16.0	39.0	66.0	119.0	216.0	327.0	454.0	549.0	753.0	969.0	1291.0	1660.0	2164.0	2961.0	4243.0	5992.0	8901.0	12994.0	18383.0	26022.0	35465.0	46878.0	60158.0	75914.0	95290.0	118439.0	149346.0	192496.0	256113.0	335869.0	370129.0	279.0
SA-PE-004_2	6.0	3.0	0.0	1.0	8.0	4.0	14.0	17.0	38.0	58.0	118.0	221.0	306.0	423.0	543.0	752.0	901.0	1206.0	1609.0	2096.0	2921.0	4242.0	6147.0	8949.0	13062.0	18422.0	26260.0	35729.0	46797.0	59978.0	75594.0	93663.0	116991.0	147790.0	190755.0	251927.0	327937.0	380511.0	427.0
SA-PE-004_3	16.0	5.0	2.0	4.0	3.0	4.0	14.0	26.0	38.0	82.0	120.0	225.0	315.0	479.0	597.0	733.0	891.0	1244.0	1519.0	2233.0	3049.0	4216.0	6066.0	8951.0	12993.0	18883.0	26334.0	35832.0	47621.0	61234.0	76948.0	95755.0	118418.0	150193.0	192668.0	253033.0	326843.0	358819.0	270.0
